"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","01-Jan-2020","        366.00","        368.00","        379.25","        366.00","        377.45","        377.65","        375.71","   11377167","          4274459182.65","      89107","    1155555","         10.16"
"ADANIPORTS","EQ","02-Jan-2020","        377.65","        377.95","        384.70","        376.50","        382.50","        383.15","        381.66","    5919760","          2259337415.85","      54749","    1072204","         18.11"
"ADANIPORTS","EQ","03-Jan-2020","        383.15","        382.70","        384.35","        379.20","        382.00","        382.50","        382.01","    3684824","          1407635549.40","      41829","    1082913","         29.39"
"ADANIPORTS","EQ","06-Jan-2020","        382.50","        388.00","        388.00","        374.75","        380.00","        380.20","        381.73","   12482680","          4765071281.20","      97444","    2245696","         17.99"
"ADANIPORTS","EQ","07-Jan-2020","        380.20","        384.05","        389.75","        382.40","        384.05","        384.80","        385.49","    8091465","          3119177905.45","      58470","    3028819","         37.43"
"ADANIPORTS","EQ","08-Jan-2020","        384.80","        379.00","        387.60","        378.25","        385.40","        385.65","        383.67","    4620991","          1772921647.35","      37166","    1442143","         31.21"
"ADANIPORTS","EQ","09-Jan-2020","        385.65","        389.15","        394.00","        386.05","        391.80","        391.80","        391.30","    4186783","          1638283562.45","      45704","    1082332","         25.85"
"ADANIPORTS","EQ","10-Jan-2020","        391.80","        391.80","        394.30","        390.00","        391.30","        392.05","        392.41","    2405154","           943808034.65","      26327","     788775","         32.80"
"ADANIPORTS","EQ","13-Jan-2020","        392.05","        391.90","        393.90","        389.30","        390.05","        390.35","        391.24","    1516112","           593167829.50","      19174","     497886","         32.84"
"ADANIPORTS","EQ","14-Jan-2020","        390.35","        391.00","        392.60","        386.00","        389.25","        389.20","        389.54","    1963128","           764722042.65","      33582","     661362","         33.69"
"ADANIPORTS","EQ","15-Jan-2020","        389.20","        389.30","        391.40","        386.00","        390.55","        390.80","        388.83","    1536571","           597471006.25","      24601","     447618","         29.13"
"ADANIPORTS","EQ","16-Jan-2020","        390.80","        392.00","        394.60","        389.80","        391.00","        390.95","        392.07","    1340762","           525674466.90","      16681","     294794","         21.99"
"ADANIPORTS","EQ","17-Jan-2020","        390.95","        390.90","        392.40","        386.00","        386.00","        387.60","        389.03","    1644832","           639890508.55","      25587","     612360","         37.23"
"ADANIPORTS","EQ","20-Jan-2020","        387.60","        387.65","        389.20","        378.80","        379.85","        380.05","        382.18","    1760945","           672989254.20","      27756","     470153","         26.70"
"ADANIPORTS","EQ","21-Jan-2020","        380.05","        378.80","        382.00","        375.30","        379.70","        379.95","        378.66","    2005178","           759275668.40","      28978","     843545","         42.07"
"ADANIPORTS","EQ","22-Jan-2020","        379.95","        379.95","        385.00","        379.00","        384.00","        383.60","        382.90","    1817459","           695897835.25","      24026","     566400","         31.16"
"ADANIPORTS","EQ","23-Jan-2020","        383.60","        384.45","        386.75","        380.75","        385.00","        385.85","        384.40","    1202104","           462086830.40","      22112","     360665","         30.00"
"ADANIPORTS","EQ","24-Jan-2020","        385.85","        383.00","        387.40","        380.30","        384.75","        384.75","        384.18","    1572385","           604083932.25","      23068","     345643","         21.98"
"ADANIPORTS","EQ","27-Jan-2020","        384.75","        383.70","        386.25","        379.80","        380.70","        381.25","        382.77","    1076027","           411875743.90","      21136","     259566","         24.12"
"ADANIPORTS","EQ","28-Jan-2020","        381.25","        380.70","        381.50","        370.20","        373.75","        372.95","        375.37","    2220618","           833546232.45","      42216","     841792","         37.91"
"ADANIPORTS","EQ","29-Jan-2020","        372.95","        377.50","        387.75","        373.75","        382.50","        383.35","        383.81","    3588224","          1377204827.35","      46533","     454883","         12.68"
"ADANIPORTS","EQ","30-Jan-2020","        383.35","        381.00","        383.70","        376.85","        378.00","        378.00","        379.78","    1526892","           579885594.70","      21621","     385344","         25.24"
