"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","01-Jan-2020","       1784.95","       1790.20","       1802.55","       1783.20","       1784.25","       1793.20","       1794.29","     397285","           712846264.85","      15386","      79648","         20.05"
"ASIANPAINT","EQ","02-Jan-2020","       1793.20","       1791.00","       1799.90","       1783.40","       1789.80","       1790.65","       1791.83","     411266","           736917175.10","      22042","     130259","         31.67"
"ASIANPAINT","EQ","03-Jan-2020","       1790.65","       1779.80","       1779.80","       1747.05","       1750.00","       1751.40","       1758.01","    1318628","          2318156816.05","      66172","     466498","         35.38"
"ASIANPAINT","EQ","06-Jan-2020","       1751.40","       1737.95","       1738.00","       1694.00","       1710.00","       1707.15","       1708.88","    1871804","          3198688794.80","      70558","     729821","         38.99"
"ASIANPAINT","EQ","07-Jan-2020","       1707.15","       1711.00","       1740.50","       1711.00","       1730.65","       1724.40","       1729.25","    1033650","          1787440105.50","      70683","     318738","         30.84"
"ASIANPAINT","EQ","08-Jan-2020","       1724.40","       1696.00","       1736.00","       1695.00","       1732.60","       1728.80","       1716.72","    1006057","          1727117748.25","      45401","     286023","         28.43"
"ASIANPAINT","EQ","09-Jan-2020","       1728.80","       1763.00","       1775.00","       1741.00","       1767.35","       1772.55","       1758.07","    1781733","          3132410683.65","      72574","    1003861","         56.34"
"ASIANPAINT","EQ","10-Jan-2020","       1772.55","       1772.00","       1797.30","       1760.00","       1793.30","       1792.55","       1783.77","    1256612","          2241507018.20","      44862","     623304","         49.60"
"ASIANPAINT","EQ","13-Jan-2020","       1792.55","       1799.00","       1807.95","       1794.35","       1804.00","       1804.90","       1801.41","     823821","          1484038698.90","      38516","     329761","         40.03"
"ASIANPAINT","EQ","14-Jan-2020","       1804.90","       1805.00","       1821.65","       1804.80","       1819.00","       1819.15","       1816.62","     775629","          1409023303.70","      37999","     339481","         43.77"
"ASIANPAINT","EQ","15-Jan-2020","       1819.15","       1817.50","       1845.00","       1810.10","       1839.80","       1842.25","       1829.41","    1252925","          2292114308.85","      49053","     413218","         32.98"
"ASIANPAINT","EQ","16-Jan-2020","       1842.25","       1835.95","       1848.00","       1828.75","       1838.90","       1835.15","       1836.46","    1031569","          1894437205.15","      55042","     581521","         56.37"
"ASIANPAINT","EQ","17-Jan-2020","       1835.15","       1835.60","       1838.90","       1815.00","       1836.00","       1830.05","       1826.78","     862204","          1575058915.40","      44885","     411022","         47.67"
"ASIANPAINT","EQ","20-Jan-2020","       1830.05","       1838.00","       1862.25","       1833.60","       1847.50","       1848.75","       1851.25","    1091453","          2020549413.30","      60609","     346819","         31.78"
"ASIANPAINT","EQ","21-Jan-2020","       1848.75","       1839.95","       1842.55","       1793.85","       1809.00","       1810.75","       1810.96","    2101561","          3805838775.65","      79182","     657762","         31.30"
"ASIANPAINT","EQ","22-Jan-2020","       1810.75","       1815.00","       1818.70","       1766.85","       1773.20","       1779.25","       1791.56","    3415306","          6118736746.75","     118628","     816114","         23.90"
"ASIANPAINT","EQ","23-Jan-2020","       1779.25","       1779.00","       1789.00","       1757.10","       1778.10","       1776.10","       1769.08","    1885275","          3335210411.65","      84213","     900798","         47.78"
"ASIANPAINT","EQ","24-Jan-2020","       1776.10","       1783.65","       1799.90","       1780.25","       1791.40","       1786.80","       1791.35","    1195596","          2141728953.65","      48875","     453815","         37.96"
"ASIANPAINT","EQ","27-Jan-2020","       1786.80","       1787.00","       1805.75","       1780.00","       1790.00","       1788.35","       1793.25","     969054","          1737752480.80","      46103","     254554","         26.27"
"ASIANPAINT","EQ","28-Jan-2020","       1788.35","       1794.00","       1794.00","       1773.00","       1780.00","       1779.10","       1780.07","     873291","          1554522884.60","      55125","     400185","         45.82"
"ASIANPAINT","EQ","29-Jan-2020","       1779.10","       1787.00","       1803.85","       1781.00","       1798.00","       1796.95","       1794.76","     873805","          1568267257.50","      55308","     280153","         32.06"
"ASIANPAINT","EQ","30-Jan-2020","       1796.95","       1800.00","       1808.90","       1786.00","       1795.55","       1805.00","       1796.25","    1005975","          1806986275.80","      56855","     447227","         44.46"
"ASIANPAINT","EQ","31-Jan-2020","       1805.00","       1810.00","       1824.00","       1788.70","       1797.00","       1795.65","       1808.22","    1169614","          2114917428.70","      61384","     471814","         40.34"
"ASIANPAINT","EQ","01-Feb-2020","       1795.65","       1802.00","       1817.80","       1747.00","       1759.90","       1755.35","       1789.78","     750220","          1342727161.75","      32832","     182360","         24.31"
"ASIANPAINT","EQ","03-Feb-2020","       1755.35","       1768.80","       1872.90","       1765.00","       1866.65","       1867.65","       1832.22","    2854532","          5230126639.85","     118212","     967520","         33.89"
"ASIANPAINT","EQ","04-Feb-2020","       1867.65","       1870.00","       1896.75","       1855.05","       1896.75","       1891.30","       1877.61","    1830049","          3436113182.95","      90719","     709331","         38.76"
