"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","01-Jan-2020","       3185.00","       3183.00","       3193.75","       3142.10","       3151.00","       3150.10","       3169.79","     320021","          1014398662.55","      16092","      55953","         17.48"
"BAJAJ-AUTO","EQ","02-Jan-2020","       3150.10","       3154.95","       3172.50","       3112.05","       3121.75","       3121.00","       3129.60","     452413","          1415870093.50","      25354","     145229","         32.10"
"BAJAJ-AUTO","EQ","03-Jan-2020","       3121.00","       3125.50","       3128.25","       3065.00","       3067.00","       3072.05","       3090.34","     424311","          1311263332.40","      27302","     162278","         38.25"
"BAJAJ-AUTO","EQ","06-Jan-2020","       3072.05","       3070.00","       3071.60","       3028.05","       3033.00","       3037.65","       3039.65","     355754","          1081366111.95","      23989","     155173","         43.62"
"BAJAJ-AUTO","EQ","07-Jan-2020","       3037.65","       3045.50","       3072.00","       3030.10","       3045.00","       3037.95","       3043.08","     225535","           686321029.70","      15131","      68131","         30.21"
"BAJAJ-AUTO","EQ","08-Jan-2020","       3037.95","       3000.00","       3073.40","       3000.00","       3057.00","       3059.25","       3048.93","     393614","          1200100081.70","      26250","     115005","         29.22"
"BAJAJ-AUTO","EQ","09-Jan-2020","       3059.25","       3076.00","       3110.00","       3066.05","       3090.00","       3085.70","       3091.02","     333029","          1029400099.15","      31766","     134815","         40.48"
"BAJAJ-AUTO","EQ","10-Jan-2020","       3085.70","       3098.00","       3117.00","       3085.75","       3102.00","       3101.20","       3099.26","     455081","          1410412420.50","      28270","     231586","         50.89"
"BAJAJ-AUTO","EQ","13-Jan-2020","       3101.20","       3106.00","       3119.95","       3080.20","       3085.00","       3094.05","       3099.60","     154993","           480416163.90","      10523","      42957","         27.72"
"BAJAJ-AUTO","EQ","14-Jan-2020","       3094.05","       3091.10","       3118.00","       3074.00","       3107.00","       3101.60","       3100.60","     278534","           863621833.75","      19552","     134847","         48.41"
"BAJAJ-AUTO","EQ","15-Jan-2020","       3101.60","       3101.00","       3138.00","       3092.00","       3126.50","       3123.55","       3118.48","     553613","          1726433230.70","      21233","     332617","         60.08"
"BAJAJ-AUTO","EQ","16-Jan-2020","       3123.55","       3129.80","       3150.00","       3101.50","       3104.55","       3112.10","       3121.91","     287553","           897714573.40","      15600","     144677","         50.31"
"BAJAJ-AUTO","EQ","17-Jan-2020","       3112.10","       3112.00","       3138.00","       3098.00","       3110.50","       3118.10","       3122.27","     272072","           849481615.70","      17769","      91976","         33.81"
"BAJAJ-AUTO","EQ","20-Jan-2020","       3118.10","       3130.00","       3144.65","       3083.15","       3103.55","       3103.70","       3109.00","     365554","          1136506389.40","      21352","     195882","         53.58"
"BAJAJ-AUTO","EQ","21-Jan-2020","       3103.70","       3096.00","       3119.00","       3085.50","       3093.00","       3097.05","       3102.26","     215722","           669226501.10","      15113","     101065","         46.85"
"BAJAJ-AUTO","EQ","22-Jan-2020","       3097.05","       3105.00","       3110.00","       3070.10","       3074.85","       3076.40","       3082.74","     269339","           830302989.60","      18843","     153323","         56.93"
"BAJAJ-AUTO","EQ","23-Jan-2020","       3076.40","       3072.00","       3089.95","       3051.10","       3068.00","       3065.20","       3069.47","     256329","           786793776.90","      16401","     133683","         52.15"
"BAJAJ-AUTO","EQ","24-Jan-2020","       3065.20","       3068.00","       3092.95","       3064.00","       3082.40","       3074.15","       3078.46","     209961","           646356383.80","      16960","     105882","         50.43"
"BAJAJ-AUTO","EQ","27-Jan-2020","       3074.15","       3069.80","       3122.95","       3044.05","       3079.25","       3082.60","       3085.34","     308445","           951656215.40","      18096","     101408","         32.88"
"BAJAJ-AUTO","EQ","28-Jan-2020","       3082.60","       3089.80","       3109.60","       3048.00","       3050.40","       3060.90","       3075.44","     239986","           738063476.25","      26462","     120743","         50.31"
"BAJAJ-AUTO","EQ","29-Jan-2020","       3060.90","       3079.00","       3099.00","       3060.00","       3094.75","       3091.85","       3087.32","     243945","           753135618.75","      24785","     122741","         50.32"
"BAJAJ-AUTO","EQ","30-Jan-2020","       3091.85","       3108.50","       3185.00","       3041.10","       3142.00","       3145.50","       3128.47","    2400831","          7510931523.40","     119163","     261288","         10.88"
"BAJAJ-AUTO","EQ","31-Jan-2020","       3145.50","       3150.00","       3239.95","       3150.00","       3182.00","       3180.05","       3206.66","    1141144","          3659256507.70","      67911","     346247","         30.34"
"BAJAJ-AUTO","EQ","01-Feb-2020","       3180.05","       3173.60","       3215.60","       3124.80","       3145.00","       3143.30","       3176.48","     477309","          1516160585.35","      22609","     161896","         33.92"
"BAJAJ-AUTO","EQ","03-Feb-2020","       3143.30","       3143.00","       3315.15","       3115.10","       3282.80","       3284.50","       3240.95","     921166","          2985450179.80","      70132","     337351","         36.62"
"BAJAJ-AUTO","EQ","04-Feb-2020","       3284.50","       3270.00","       3313.00","       3151.00","       3160.90","       3162.80","       3221.67","    1546450","          4982158384.00","      86685","     389230","         25.17"
"BAJAJ-AUTO","EQ","05-Feb-2020","       3162.80","       3185.00","       3220.90","       3150.00","       3158.00","       3161.50","       3180.32","     646723","          2056784070.60","      40416","     188254","         29.11"
"BAJAJ-AUTO","EQ","06-Feb-2020","       3161.50","       3170.00","       3211.00","       3141.40","       3148.00","       3149.80","       3174.12","     514236","          1632248061.25","      31289","     176470","         34.32"
"BAJAJ-AUTO","EQ","07-Feb-2020","       3149.80","       3164.80","       3189.00","       3106.60","       3135.00","       3134.85","       3147.60","     454698","          1431209173.30","      25566","     144260","         31.73"
"BAJAJ-AUTO","EQ","10-Feb-2020","       3134.85","       3138.00","       3150.85","       3091.70","       3100.00","       3103.30","       3118.05","     386072","          1203790721.15","      19938","     126810","         32.85"
"BAJAJ-AUTO","EQ","11-Feb-2020","       3103.30","       3125.00","       3150.00","       3100.00","       3150.00","       3145.45","       3142.00","     274244","           861675477.20","      21710","     101621","         37.05"
"BAJAJ-AUTO","EQ","12-Feb-2020","       3145.45","       3164.70","       3184.65","       3136.85","       3158.90","       3146.30","       3161.63","     345354","          1091880218.45","      23469","     153819","         44.54"
"BAJAJ-AUTO","EQ","13-Feb-2020","       3146.30","       3149.00","       3172.20","       3120.40","       3130.15","       3136.40","       3144.13","     268031","           842723152.55","      16457","      94954","         35.43"
"BAJAJ-AUTO","EQ","14-Feb-2020","       3136.40","       3145.00","       3205.00","       3136.80","       3152.60","       3146.40","       3171.77","     381580","          1210282359.60","      30267","     114100","         29.90"
"BAJAJ-AUTO","EQ","17-Feb-2020","       3146.40","       3152.55","       3159.45","       3070.00","       3071.95","       3075.60","       3100.65","     269986","           837133131.75","      19486","      56914","         21.08"
"BAJAJ-AUTO","EQ","18-Feb-2020","       3075.60","       3064.70","       3090.55","       3033.50","       3086.00","       3082.50","       3064.56","     337054","          1032920635.15","      20730","      94666","         28.09"
"BAJAJ-AUTO","EQ","19-Feb-2020","       3082.50","       3092.00","       3111.95","       3072.40","       3091.00","       3090.90","       3093.60","     220584","           682397950.55","      14082","      42764","         19.39"
"BAJAJ-AUTO","EQ","20-Feb-2020","       3090.90","       3091.00","       3100.05","       3057.65","       3059.00","       3065.50","       3077.45","     256115","           788180569.60","      25529","     112002","         43.73"
"BAJAJ-AUTO","EQ","24-Feb-2020","       3065.50","       3077.00","       3084.65","       2970.05","       2978.00","       2980.50","       3017.17","     499562","          1507264960.05","      36970","     202528","         40.54"
"BAJAJ-AUTO","EQ","25-Feb-2020","       2980.50","       2992.00","       3007.00","       2931.00","       2955.00","       2947.40","       2958.41","     527499","          1560555785.45","      41447","     190397","         36.09"
"BAJAJ-AUTO","EQ","26-Feb-2020","       2947.40","       2937.00","       2974.00","       2920.00","       2935.00","       2946.60","       2941.94","     445577","          1310862560.35","      25379","     211410","         47.45"
"BAJAJ-AUTO","EQ","27-Feb-2020","       2946.60","       2944.80","       2969.95","       2913.50","       2935.15","       2936.60","       2945.41","     416726","          1227430952.85","      32846","     177075","         42.49"
"BAJAJ-AUTO","EQ","28-Feb-2020","       2936.60","       2890.00","       2915.00","       2850.45","       2888.00","       2890.00","       2888.98","     925702","          2674337075.50","      43040","     583465","         63.03"
"BAJAJ-AUTO","EQ","02-Mar-2020","       2890.00","       2920.00","       2944.50","       2772.00","       2797.00","       2792.20","       2825.10","    1281846","          3621338140.00","      69748","     463495","         36.16"
"BAJAJ-AUTO","EQ","03-Mar-2020","       2792.20","       2700.00","       2730.00","       2653.00","       2700.00","       2692.25","       2697.10","    1459848","          3937350943.25","      64846","     572224","         39.20"
"BAJAJ-AUTO","EQ","04-Mar-2020","       2692.25","       2720.00","       2764.50","       2653.50","       2706.00","       2711.50","       2716.91","     954038","          2592037175.45","      71202","     258277","         27.07"
"BAJAJ-AUTO","EQ","05-Mar-2020","       2711.50","       2719.95","       2749.00","       2696.20","       2702.95","       2703.65","       2723.65","     384427","          1047044822.90","      26735","      90966","         23.66"
"BAJAJ-AUTO","EQ","06-Mar-2020","       2703.65","       2640.00","       2758.00","       2620.00","       2745.00","       2735.05","       2683.90","     658891","          1768394560.75","      49017","     240097","         36.44"
"BAJAJ-AUTO","EQ","09-Mar-2020","       2735.05","       2675.00","       2690.00","       2558.60","       2572.00","       2573.35","       2616.54","     706898","          1849623719.40","      64191","     261684","         37.02"
"BAJAJ-AUTO","EQ","11-Mar-2020","       2573.35","       2580.00","       2630.00","       2562.70","       2598.60","       2591.55","       2600.37","     641982","          1669392473.70","      51929","     239069","         37.24"
"BAJAJ-AUTO","EQ","12-Mar-2020","       2591.55","       2519.95","       2535.00","       2319.05","       2352.00","       2338.90","       2408.86","     799317","          1925439002.55","      65913","     301615","         37.73"
"BAJAJ-AUTO","EQ","13-Mar-2020","       2338.90","       2249.00","       2432.45","       2040.00","       2408.90","       2357.10","       2271.44","     883265","          2006282188.40","      63177","     331960","         37.58"
"BAJAJ-AUTO","EQ","16-Mar-2020","       2357.10","       2315.00","       2389.00","       2290.00","       2339.00","       2339.55","       2346.36","     963321","          2260301166.85","      59578","     415812","         43.16"
"BAJAJ-AUTO","EQ","17-Mar-2020","       2339.55","       2345.20","       2372.70","       2250.05","       2270.50","       2270.45","       2304.70","     659035","          1518876584.60","      39660","     162511","         24.66"
"BAJAJ-AUTO","EQ","18-Mar-2020","       2270.45","       2290.00","       2309.90","       2157.15","       2253.00","       2169.00","       2217.99","     593993","          1317468113.95","      52797","     242742","         40.87"
"BAJAJ-AUTO","EQ","19-Mar-2020","       2169.00","       2119.75","       2377.40","       2032.35","       2186.70","       2166.60","       2198.01","    1010352","          2220768499.45","      88650","     346594","         34.30"
"BAJAJ-AUTO","EQ","20-Mar-2020","       2166.60","       2189.90","       2298.90","       2153.95","       2228.20","       2242.30","       2213.63","     718412","          1590300791.45","      74170","     238598","         33.21"
"BAJAJ-AUTO","EQ","23-Mar-2020","       2242.30","       2052.00","       2389.00","       1900.00","       1919.00","       1935.55","       1965.84","     797174","          1567117505.10","      69743","     390201","         48.95"
"BAJAJ-AUTO","EQ","24-Mar-2020","       1935.55","       2000.00","       2057.90","       1788.65","       1969.10","       1937.15","       1915.45","    1210613","          2318866074.85","      78822","     482657","         39.87"
"BAJAJ-AUTO","EQ","25-Mar-2020","       1937.15","       1917.00","       1989.00","       1866.60","       1925.00","       1946.75","       1928.14","     606235","          1168905884.80","      57859","     232086","         38.28"
"BAJAJ-AUTO","EQ","26-Mar-2020","       1946.75","       1998.20","       2133.90","       1934.00","       2078.90","       2106.85","       2069.93","     989242","          2047661835.60","      79278","     371572","         37.56"
"BAJAJ-AUTO","EQ","27-Mar-2020","       2106.85","       2149.00","       2167.00","       2007.15","       2058.65","       2053.45","       2059.82","     938567","          1933281333.00","      88966","     326577","         34.80"
"BAJAJ-AUTO","EQ","30-Mar-2020","       2053.45","       2016.00","       2020.80","       1945.05","       2002.00","       1986.70","       1977.34","     462909","           915327392.60","      41646","     182646","         39.46"
"BAJAJ-AUTO","EQ","31-Mar-2020","       1986.70","       2037.35","       2048.40","       1930.30","       2010.00","       2022.35","       2007.87","     762791","          1531586507.60","      61303","     306453","         40.18"
"BAJAJ-AUTO","EQ","01-Apr-2020","       2022.35","       2000.00","       2095.80","       1990.00","       2043.00","       2051.10","       2040.75","     869738","          1774915393.85","      72764","     297644","         34.22"
"BAJAJ-AUTO","EQ","03-Apr-2020","       2051.10","       2051.10","       2056.30","       1957.55","       2020.00","       2033.75","       2011.09","     692220","          1392115954.60","      82281","     253473","         36.62"
"BAJAJ-AUTO","EQ","07-Apr-2020","       2033.75","       2065.00","       2303.55","       2065.00","       2270.00","       2280.05","       2175.07","    1069884","          2327075872.95","      71355","     395581","         36.97"
"BAJAJ-AUTO","EQ","08-Apr-2020","       2280.05","       2180.00","       2383.45","       2168.55","       2260.00","       2241.70","       2299.11","     840875","          1933266167.40","      59866","     245664","         29.22"
"BAJAJ-AUTO","EQ","09-Apr-2020","       2241.70","       2290.00","       2524.95","       2289.90","       2436.10","       2435.95","       2435.84","    1788928","          4357538270.05","      84039","     609581","         34.08"
"BAJAJ-AUTO","EQ","13-Apr-2020","       2435.95","       2430.15","       2430.15","       2321.75","       2400.05","       2397.55","       2366.13","     654478","          1548580923.10","      35598","     135561","         20.71"
"BAJAJ-AUTO","EQ","15-Apr-2020","       2397.55","       2410.00","       2483.60","       2320.05","       2351.70","       2335.15","       2423.10","     986750","          2390994149.00","      66243","     362381","         36.72"
"BAJAJ-AUTO","EQ","16-Apr-2020","       2335.15","       2330.00","       2365.00","       2264.50","       2330.05","       2333.55","       2319.71","     944581","          2191152923.15","      59083","     291630","         30.87"
"BAJAJ-AUTO","EQ","17-Apr-2020","       2333.55","       2380.00","       2425.05","       2347.05","       2386.90","       2379.15","       2381.23","     690554","          1644368168.50","      44460","     186543","         27.01"
"BAJAJ-AUTO","EQ","20-Apr-2020","       2379.15","       2410.00","       2415.00","       2351.70","       2377.00","       2378.30","       2377.57","     427669","          1016812480.70","      32400","     128968","         30.16"
"BAJAJ-AUTO","EQ","21-Apr-2020","       2378.30","       2344.00","       2354.45","       2295.00","       2325.00","       2323.25","       2320.48","     702627","          1630429625.85","      40959","     266546","         37.94"
"BAJAJ-AUTO","EQ","22-Apr-2020","       2323.25","       2323.25","       2412.10","       2296.10","       2372.10","       2379.70","       2372.42","     712534","          1690431076.50","      47759","     209642","         29.42"
"BAJAJ-AUTO","EQ","23-Apr-2020","       2379.70","       2379.70","       2446.95","       2368.00","       2425.00","       2430.65","       2413.27","    1179212","          2845755383.80","      42715","     725474","         61.52"
"BAJAJ-AUTO","EQ","24-Apr-2020","       2430.65","       2410.00","       2472.00","       2381.00","       2450.00","       2445.35","       2445.05","     669287","          1636442215.55","      48857","     197580","         29.52"
"BAJAJ-AUTO","EQ","27-Apr-2020","       2445.35","       2470.00","       2551.85","       2453.25","       2499.00","       2505.75","       2504.52","    1128657","          2826745945.00","      63563","     258489","         22.90"
"BAJAJ-AUTO","EQ","28-Apr-2020","       2505.75","       2510.85","       2546.40","       2431.35","       2464.80","       2463.70","       2469.42","     646908","          1597490042.15","      40098","     165768","         25.62"
"BAJAJ-AUTO","EQ","29-Apr-2020","       2463.70","       2474.00","       2520.00","       2450.00","       2500.00","       2499.15","       2492.45","     525271","          1309211701.55","      35997","     101599","         19.34"
"BAJAJ-AUTO","EQ","30-Apr-2020","       2499.15","       2525.10","       2654.00","       2510.15","       2623.80","       2623.30","       2600.82","    1118713","          2909570323.65","      69201","     282136","         25.22"
"BAJAJ-AUTO","EQ","04-May-2020","       2623.30","       2550.00","       2554.95","       2415.40","       2433.00","       2442.15","       2462.39","     574562","          1414794043.20","      36358","     149808","         26.07"
"BAJAJ-AUTO","EQ","05-May-2020","       2442.15","       2475.00","       2488.90","       2400.80","       2416.95","       2422.80","       2435.61","     663761","          1616665322.20","      36042","     146266","         22.04"
"BAJAJ-AUTO","EQ","06-May-2020","       2422.80","       2425.00","       2495.00","       2361.30","       2475.00","       2471.85","       2444.79","     778603","          1903520010.60","      40185","     161091","         20.69"
"BAJAJ-AUTO","EQ","07-May-2020","       2471.85","       2470.00","       2485.75","       2400.00","       2405.85","       2406.55","       2438.22","     422146","          1029284409.60","      27497","      45891","         10.87"
"BAJAJ-AUTO","EQ","08-May-2020","       2406.55","       2446.05","       2450.00","       2401.05","       2422.65","       2419.05","       2425.41","     455836","          1105590945.95","      23673","     108382","         23.78"
"BAJAJ-AUTO","EQ","11-May-2020","       2419.05","       2430.00","       2624.95","       2428.00","       2560.60","       2566.30","       2555.11","    1627649","          4158828887.60","      87843","     167776","         10.31"
"BAJAJ-AUTO","EQ","12-May-2020","       2566.30","       2531.00","       2655.90","       2494.25","       2654.00","       2628.85","       2577.13","    1335103","          3440739903.25","      83849","     288261","         21.59"
"BAJAJ-AUTO","EQ","13-May-2020","       2628.85","       2774.00","       2774.00","       2671.35","       2680.05","       2696.00","       2704.21","    1257856","          3401512029.70","      78239","     303021","         24.09"
"BAJAJ-AUTO","EQ","14-May-2020","       2696.00","       2601.50","       2730.00","       2601.50","       2697.05","       2702.65","       2687.28","     893108","          2400031857.35","      51242","     104000","         11.64"
