"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJFINANCE","EQ","01-Jan-2020","       4234.75","       4237.80","       4252.00","       4221.00","       4231.00","       4231.30","       4235.35","     407042","          1723964912.40","      22951","      97702","         24.00"
"BAJFINANCE","EQ","02-Jan-2020","       4231.30","       4240.00","       4295.75","       4235.00","       4243.80","       4246.05","       4268.23","     863844","          3687085024.60","      59073","     237293","         27.47"
"BAJFINANCE","EQ","03-Jan-2020","       4246.05","       4220.00","       4234.80","       4173.00","       4181.05","       4193.45","       4205.07","    1176850","          4948733901.60","      68524","     316090","         26.86"
"BAJFINANCE","EQ","06-Jan-2020","       4193.45","       4164.00","       4204.00","       3983.80","       4004.00","       3996.70","       4052.84","    2866735","         11618423961.65","     146938","     656087","         22.89"
"BAJFINANCE","EQ","07-Jan-2020","       3996.70","       4055.00","       4092.00","       3996.20","       4005.90","       4007.65","       4033.65","    2149042","          8668489840.55","     105478","     339049","         15.78"
"BAJFINANCE","EQ","08-Jan-2020","       4007.65","       3950.00","       4060.35","       3950.00","       4051.00","       4049.95","       4015.94","    1630576","          6548299300.35","      76621","     267927","         16.43"
"BAJFINANCE","EQ","09-Jan-2020","       4049.95","       4105.90","       4148.00","       4080.00","       4114.00","       4124.20","       4120.37","    1419388","          5848402383.95","      82128","     347917","         24.51"
"BAJFINANCE","EQ","10-Jan-2020","       4124.20","       4130.10","       4185.90","       4118.00","       4146.05","       4144.85","       4151.07","    1106624","          4593678112.00","      58883","     204100","         18.44"
"BAJFINANCE","EQ","13-Jan-2020","       4144.85","       4168.00","       4182.25","       4146.00","       4169.00","       4164.50","       4162.02","     645152","          2685133286.65","      40230","     180828","         28.03"
"BAJFINANCE","EQ","14-Jan-2020","       4164.50","       4170.00","       4202.40","       4150.45","       4190.00","       4193.00","       4180.44","     703434","          2940660217.35","      48016","     204883","         29.13"
"BAJFINANCE","EQ","15-Jan-2020","       4193.00","       4189.95","       4220.00","       4170.05","       4206.50","       4207.25","       4198.64","     616976","          2590457531.50","      36316","     110078","         17.84"
"BAJFINANCE","EQ","16-Jan-2020","       4207.25","       4190.00","       4229.95","       4188.00","       4217.15","       4220.25","       4216.72","     578728","          2440335074.00","      36690","     168519","         29.12"
"BAJFINANCE","EQ","17-Jan-2020","       4220.25","       4217.00","       4242.00","       4202.00","       4224.15","       4231.75","       4228.96","     671129","          2838180990.65","      51074","     274110","         40.84"
"BAJFINANCE","EQ","20-Jan-2020","       4231.75","       4229.00","       4252.95","       4125.15","       4159.00","       4152.60","       4183.88","     848639","          3550605863.95","      56580","     316838","         37.33"
"BAJFINANCE","EQ","21-Jan-2020","       4152.60","       4149.95","       4186.10","       4117.05","       4135.00","       4138.60","       4146.68","     897922","          3723393632.30","      62449","     331038","         36.87"
"BAJFINANCE","EQ","22-Jan-2020","       4138.60","       4186.00","       4186.50","       4123.35","       4143.00","       4142.20","       4151.36","     797901","          3312372101.60","      42630","     303026","         37.98"
"BAJFINANCE","EQ","23-Jan-2020","       4142.20","       4123.00","       4163.85","       4085.00","       4142.00","       4125.80","       4119.44","    1154522","          4755982212.80","      72036","     447597","         38.77"
"BAJFINANCE","EQ","24-Jan-2020","       4125.80","       4120.00","       4205.65","       4111.00","       4194.00","       4194.50","       4169.87","     864892","          3606485797.45","      50580","     228676","         26.44"
"BAJFINANCE","EQ","27-Jan-2020","       4194.50","       4174.00","       4208.00","       4154.00","       4163.05","       4164.35","       4178.59","     782155","          3268303169.10","      57501","     231390","         29.58"
"BAJFINANCE","EQ","28-Jan-2020","       4164.35","       4150.15","       4249.00","       4150.15","       4215.95","       4213.00","       4214.47","    1052764","          4436840138.35","      72991","     243165","         23.10"
"BAJFINANCE","EQ","29-Jan-2020","       4213.00","       4244.90","       4444.00","       4215.10","       4426.20","       4419.00","       4330.90","    4581413","         19841640616.55","     243602","     577267","         12.60"
"BAJFINANCE","EQ","30-Jan-2020","       4419.00","       4464.00","       4485.00","       4344.85","       4358.00","       4364.30","       4412.12","    3577774","         15785570265.30","     232582","     926105","         25.88"
"BAJFINANCE","EQ","31-Jan-2020","       4364.30","       4370.00","       4420.10","       4333.80","       4380.10","       4365.90","       4379.25","    1736927","          7606434149.40","     122885","     421672","         24.28"
"BAJFINANCE","EQ","01-Feb-2020","       4365.90","       4350.00","       4447.50","       4203.30","       4274.05","       4276.05","       4337.38","    2152563","          9336483946.55","     115180","     448841","         20.85"
"BAJFINANCE","EQ","03-Feb-2020","       4276.05","       4250.20","       4376.90","       4250.20","       4376.00","       4359.35","       4330.01","    1094181","          4737813318.85","      72837","     228216","         20.86"
