"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BRITANNIA","EQ","01-Jan-2020","       3027.80","       3044.70","       3053.00","       3027.40","       3037.90","       3039.65","       3040.96","     110561","           336211504.10","       6813","      20175","         18.25"
"BRITANNIA","N2","01-Jan-2020","         31.57","         31.46","         31.78","         31.46","         31.51","         31.51","         31.54","       1326","               41816.79","         64","       1206","         90.95"
"BRITANNIA","EQ","02-Jan-2020","       3039.65","       3047.00","       3065.00","       3043.05","       3055.25","       3053.40","       3054.17","     138428","           422782123.15","      10506","      42417","         30.64"
"BRITANNIA","N2","02-Jan-2020","         31.51","         31.51","         31.60","         31.47","         31.51","         31.52","         31.50","       9751","              307170.26","        118","       8590","         88.09"
"BRITANNIA","EQ","03-Jan-2020","       3053.40","       3045.00","       3060.00","       3025.65","       3042.80","       3038.80","       3038.95","     168305","           511469960.15","      16811","      73037","         43.40"
"BRITANNIA","N2","03-Jan-2020","         31.52","         31.52","         31.60","         31.51","         31.51","         31.51","         31.52","       7934","              250065.44","        101","       7834","         98.74"
"BRITANNIA","EQ","06-Jan-2020","       3038.80","       3030.00","       3032.15","       2995.05","       3021.00","       3022.05","       3011.36","     181158","           545532516.50","      20640","      76390","         42.17"
"BRITANNIA","N2","06-Jan-2020","         31.51","         31.52","         31.52","         31.31","         31.45","         31.39","         31.39","      63942","             2007042.54","        111","      63329","         99.04"
"BRITANNIA","EQ","07-Jan-2020","       3022.05","       3033.90","       3054.00","       3028.00","       3038.00","       3036.60","       3040.60","     159307","           484388739.70","      17764","      45327","         28.45"
"BRITANNIA","N2","07-Jan-2020","         31.39","         31.32","         31.60","         31.32","         31.55","         31.50","         31.46","      19075","              600178.00","        123","      18953","         99.36"
"BRITANNIA","EQ","08-Jan-2020","       3036.60","       3020.00","       3038.70","       2995.00","       3025.00","       3023.60","       3024.50","     194024","           586824828.40","      15951","     119899","         61.80"
"BRITANNIA","N2","08-Jan-2020","         31.50","         31.32","         31.75","         31.31","         31.54","         31.58","         31.53","      70153","             2211755.54","        111","      70062","         99.87"
"BRITANNIA","EQ","09-Jan-2020","       3023.60","       3047.20","       3049.00","       2995.10","       3004.80","       3001.10","       3011.60","     434270","          1307847534.65","      34570","     272671","         62.79"
"BRITANNIA","N2","09-Jan-2020","         31.58","         31.79","         31.79","         31.52","         31.70","         31.71","         31.55","      73840","             2329882.13","        112","      73771","         99.91"
"BRITANNIA","EQ","10-Jan-2020","       3001.10","       3014.95","       3015.00","       2978.05","       2987.25","       2989.75","       2995.09","     526254","          1576180017.70","      39992","     295048","         56.07"
"BRITANNIA","N2","10-Jan-2020","         31.71","         31.43","         31.77","         31.43","         31.57","         31.61","         31.58","       5281","              166778.36","         88","       5141","         97.35"
"BRITANNIA","EQ","13-Jan-2020","       2989.75","       2995.00","       3056.25","       2987.30","       3048.00","       3045.10","       3031.99","     420792","          1275837056.90","      22588","     156655","         37.23"
"BRITANNIA","N2","13-Jan-2020","         31.61","         31.31","         31.78","         31.31","         31.56","         31.56","         31.56","      21801","              688132.66","         93","      21009","         96.37"
"BRITANNIA","EQ","14-Jan-2020","       3045.10","       3058.00","       3119.00","       3037.15","       3115.00","       3105.15","       3093.78","     653300","          2021165708.85","      33507","     241067","         36.90"
"BRITANNIA","N2","14-Jan-2020","         31.56","         31.50","         31.59","         31.50","         31.59","         31.51","         31.51","      47049","             1482692.23","        147","      46020","         97.81"
"BRITANNIA","EQ","15-Jan-2020","       3105.15","       3120.00","       3133.95","       3092.90","       3110.05","       3114.20","       3111.61","     438959","          1365867942.75","      25891","     212008","         48.30"
"BRITANNIA","N2","15-Jan-2020","         31.51","         31.40","         31.60","         31.40","         31.56","         31.56","         31.53","       4880","              153870.88","         90","       4680","         95.90"
"BRITANNIA","EQ","16-Jan-2020","       3114.20","       3116.00","       3160.00","       3115.00","       3151.00","       3150.25","       3142.69","     768872","          2416326516.45","      32613","     527618","         68.62"
"BRITANNIA","N2","16-Jan-2020","         31.56","         31.55","         31.78","         31.55","         31.57","         31.58","         31.59","       7925","              250360.84","        121","       7921","         99.95"
"BRITANNIA","EQ","17-Jan-2020","       3150.25","       3155.00","       3169.00","       3114.35","       3120.00","       3124.45","       3137.84","     294064","           922726265.90","      30506","     122671","         41.72"
"BRITANNIA","N2","17-Jan-2020","         31.58","         31.55","         31.78","         31.55","         31.56","         31.56","         31.56","      13673","              431571.20","        100","      13617","         99.59"
"BRITANNIA","EQ","20-Jan-2020","       3124.45","       3143.00","       3143.00","       3104.40","       3114.00","       3110.45","       3119.26","     203111","           633556753.70","      16022","     112229","         55.26"
"BRITANNIA","N2","20-Jan-2020","         31.56","         31.40","         31.80","         31.40","         31.63","         31.63","         31.70","      17012","              539213.99","        114","      16925","         99.49"
"BRITANNIA","EQ","21-Jan-2020","       3110.45","       3100.00","       3130.00","       3077.25","       3120.30","       3111.25","       3104.76","     220943","           685976071.65","      22663","     117330","         53.10"
"BRITANNIA","N2","21-Jan-2020","         31.63","         31.46","         31.79","         31.46","         31.70","         31.70","         31.69","       7245","              229597.82","         83","       7242","         99.96"
"BRITANNIA","EQ","22-Jan-2020","       3111.25","       3125.50","       3138.70","       3088.90","       3105.30","       3106.35","       3109.82","     248578","           773032192.50","      21668","     134492","         54.10"
"BRITANNIA","N2","22-Jan-2020","         31.70","         31.61","         31.74","         31.61","         31.68","         31.69","         31.70","      13473","              427040.25","         86","      13473","        100.00"
"BRITANNIA","EQ","23-Jan-2020","       3106.35","       3103.85","       3122.90","       3068.10","       3122.90","       3112.95","       3099.79","     203032","           629355862.20","      16287","     110268","         54.31"
"BRITANNIA","N2","23-Jan-2020","         31.69","         31.50","         31.79","         31.50","         31.73","         31.73","         31.71","     158331","             5021023.48","        113","     158227","         99.93"
"BRITANNIA","EQ","24-Jan-2020","       3112.95","       3113.15","       3212.95","       3112.05","       3188.85","       3192.50","       3174.26","     580192","          1841678027.35","      36417","     265896","         45.83"
"BRITANNIA","N2","24-Jan-2020","         31.73","         31.61","         31.93","         31.61","         31.80","         31.80","         31.78","       7701","              244726.54","         96","       7539","         97.90"
"BRITANNIA","EQ","27-Jan-2020","       3192.50","       3187.00","       3210.00","       3155.00","       3173.00","       3174.20","       3191.63","     322446","          1029127700.55","      19792","     150878","         46.79"
"BRITANNIA","N2","27-Jan-2020","         31.80","         31.51","         31.94","         31.51","         31.71","         31.71","         31.79","      21979","              698622.25","        120","      21888","         99.59"
"BRITANNIA","EQ","28-Jan-2020","       3174.20","       3182.90","       3209.90","       3136.50","       3181.00","       3181.25","       3184.76","     292577","           931786928.55","      33361","     102640","         35.08"
"BRITANNIA","N2","28-Jan-2020","         31.71","         31.53","         31.84","         31.53","         31.67","         31.67","         31.67","       6493","              205629.40","         67","       6471","         99.66"
"BRITANNIA","EQ","29-Jan-2020","       3181.25","       3200.00","       3245.50","       3190.05","       3204.10","       3214.20","       3226.31","     434882","          1403065929.00","      44335","     147135","         33.83"
"BRITANNIA","N2","29-Jan-2020","         31.67","         31.98","         31.98","         31.66","         31.69","         31.69","         31.68","     146481","             4640214.23","        115","     146183","         99.80"
"BRITANNIA","EQ","30-Jan-2020","       3214.20","       3208.95","       3234.70","       3192.45","       3205.00","       3210.70","       3212.48","     337850","          1085336923.75","      36131","     197868","         58.57"
"BRITANNIA","N2","30-Jan-2020","         31.69","         31.69","         31.89","         31.50","         31.87","         31.69","         31.67","       3936","              124660.97","         81","       3874","         98.42"
"BRITANNIA","EQ","31-Jan-2020","       3210.70","       3242.70","       3274.60","       3186.85","       3190.65","       3200.70","       3238.56","     468850","          1518398304.45","      39519","     251520","         53.65"
"BRITANNIA","N2","31-Jan-2020","         31.69","         31.65","         31.93","         31.55","         31.80","         31.68","         31.69","      43722","             1385712.26","         93","      43715","         99.98"
"BRITANNIA","EQ","01-Feb-2020","       3200.70","       3161.00","       3220.00","       3080.00","       3087.70","       3097.60","       3160.11","     237502","           750532171.10","      15642","      74362","         31.31"
"BRITANNIA","N2","01-Feb-2020","         31.68","         31.68","         31.97","         31.52","         31.72","         31.72","         31.68","       3668","              116197.86","         72","       2737","         74.62"
"BRITANNIA","EQ","03-Feb-2020","       3097.60","       3097.60","       3249.00","       3092.35","       3236.10","       3230.05","       3215.67","     657504","          2114316395.05","      50502","     316821","         48.19"
"BRITANNIA","N2","03-Feb-2020","         31.72","         31.50","         31.96","         31.50","         31.72","         31.72","         31.72","      10662","              338209.90","         95","      10447","         97.98"
"BRITANNIA","EQ","04-Feb-2020","       3230.05","       3235.00","       3300.00","       3188.00","       3247.00","       3232.50","       3242.09","     511585","          1658604963.55","      47607","     193181","         37.76"
"BRITANNIA","N2","04-Feb-2020","         31.72","         31.50","         32.00","         31.31","         31.81","         31.82","         31.77","      12144","              385802.58","        123","       8210","         67.61"
"BRITANNIA","EQ","05-Feb-2020","       3232.50","       3269.80","       3318.00","       3243.70","       3260.00","       3255.95","       3280.04","     423733","          1389859112.60","      38960","     145509","         34.34"
"BRITANNIA","N2","05-Feb-2020","         31.82","         31.51","         32.00","         31.41","         32.00","         31.77","         31.72","      16875","              535328.03","        113","      13711","         81.25"
"BRITANNIA","EQ","06-Feb-2020","       3255.95","       3260.35","       3293.00","       3236.35","       3248.50","       3252.20","       3261.23","     410631","          1339162785.90","      23811","     257081","         62.61"
"BRITANNIA","N2","06-Feb-2020","         31.77","         31.41","         32.10","         31.41","         32.10","         31.96","         31.83","       4396","              139905.08","        108","       3862","         87.85"
"BRITANNIA","EQ","07-Feb-2020","       3252.20","       3256.00","       3296.00","       3237.10","       3249.95","       3251.40","       3262.66","     450061","          1468398077.35","      29339","     191895","         42.64"
"BRITANNIA","N2","07-Feb-2020","         31.96","         31.51","         32.15","         31.51","         31.80","         31.81","         31.82","      10043","              319541.47","        100","       5611","         55.87"
"BRITANNIA","EQ","10-Feb-2020","       3251.40","       3270.00","       3280.00","       3125.00","       3155.00","       3155.60","       3170.27","     969115","          3072354410.40","      71499","     314287","         32.43"
"BRITANNIA","N2","10-Feb-2020","         31.81","         32.20","         32.20","         31.52","         31.99","         31.95","         31.86","     538392","            17155829.81","        238","     538386","        100.00"
"BRITANNIA","EQ","11-Feb-2020","       3155.60","       3179.95","       3198.80","       3124.20","       3133.00","       3134.70","       3151.45","     507516","          1599408948.25","      37010","     215991","         42.56"
"BRITANNIA","N2","11-Feb-2020","         31.95","         31.51","         31.99","         31.51","         31.93","         31.93","         31.93","       7517","              239997.17","        106","       7341","         97.66"
"BRITANNIA","EQ","12-Feb-2020","       3134.70","       3124.20","       3209.00","       3124.20","       3134.70","       3136.80","       3164.92","     669153","          2117814727.10","      39756","     284213","         42.47"
"BRITANNIA","N2","12-Feb-2020","         31.93","         32.00","         32.10","         31.56","         31.97","         31.96","         31.95","      69967","             2235277.43","        164","      64341","         91.96"
"BRITANNIA","EQ","13-Feb-2020","       3136.80","       3132.00","       3143.65","       3105.20","       3129.65","       3135.20","       3122.24","     319421","           997309931.20","      25248","     139546","         43.69"
"BRITANNIA","N2","13-Feb-2020","         31.96","         31.70","         32.19","         31.70","         31.95","         32.01","         31.90","      23148","              738471.18","         98","      23100","         99.79"
"BRITANNIA","EQ","14-Feb-2020","       3135.20","       3116.00","       3159.00","       3090.30","       3095.00","       3096.65","       3117.43","     270506","           843284063.40","      22403","     120539","         44.56"
"BRITANNIA","N2","14-Feb-2020","         32.01","         31.70","         32.19","         31.70","         32.00","         31.96","         31.92","       4867","              155354.84","        102","       4739","         97.37"
"BRITANNIA","EQ","17-Feb-2020","       3096.65","       3095.00","       3112.30","       3072.05","       3087.25","       3084.10","       3092.32","     224912","           695500833.25","      33675","     106793","         47.48"
"BRITANNIA","N2","17-Feb-2020","         31.96","         31.70","         32.00","         31.70","         31.93","         31.92","         31.88","       3121","               99495.89","         97","       2760","         88.43"
"BRITANNIA","EQ","18-Feb-2020","       3084.10","       3080.00","       3080.00","       3020.00","       3075.00","       3066.45","       3045.67","     453173","          1380217315.25","      38857","     215404","         47.53"
"BRITANNIA","N2","18-Feb-2020","         31.92","         31.55","         31.99","         31.55","         31.96","         31.96","         31.96","      18263","              583642.92","         73","      18200","         99.66"
"BRITANNIA","EQ","19-Feb-2020","       3066.45","       3082.10","       3111.00","       3040.00","       3088.10","       3082.25","       3074.66","     462922","          1423328444.25","      38284","     195693","         42.27"
"BRITANNIA","N2","19-Feb-2020","         31.96","         31.75","         32.15","         31.75","         31.95","         31.94","         31.89","       9385","              299297.89","         75","       9322","         99.33"
"BRITANNIA","EQ","20-Feb-2020","       3082.25","       3079.80","       3123.45","       3052.25","       3060.00","       3059.40","       3084.21","     270720","           834957160.50","      16903","      98417","         36.35"
"BRITANNIA","N2","20-Feb-2020","         31.94","         31.90","         32.00","         31.71","         31.92","         31.92","         31.87","      10787","              343771.21","        105","      10776","         99.90"
"BRITANNIA","EQ","24-Feb-2020","       3059.40","       3059.00","       3065.00","       3005.00","       3026.00","       3036.20","       3042.64","     427352","          1300279489.25","      34505","     252960","         59.19"
"BRITANNIA","N2","24-Feb-2020","         31.92","         31.70","         32.15","         31.60","         31.90","         31.98","         31.91","      33028","             1053868.46","         74","      33005","         99.93"
"BRITANNIA","EQ","25-Feb-2020","       3036.20","       3040.00","       3078.00","       3018.00","       3025.10","       3033.55","       3042.96","     350415","          1066299438.35","      19502","     169297","         48.31"
"BRITANNIA","N2","25-Feb-2020","         31.98","         31.60","         32.05","         31.60","         32.02","         32.02","         32.00","     997599","            31923164.77","         83","     997597","        100.00"
"BRITANNIA","EQ","26-Feb-2020","       3033.55","       3025.10","       3069.90","       3016.70","       3037.00","       3041.35","       3045.94","     366302","          1115732779.25","      23858","     156408","         42.70"
