"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"COALINDIA","EQ","01-Jan-2020","        211.35","        211.35","        212.60","        208.40","        211.95","        211.95","        210.71","    6447592","          1358556960.60","      48911","    1294489","         20.08"
"COALINDIA","EQ","02-Jan-2020","        211.95","        212.50","        212.80","        208.30","        210.95","        211.10","        210.67","    5958343","          1255216017.40","      45875","    1763059","         29.59"
"COALINDIA","EQ","03-Jan-2020","        211.10","        210.00","        212.60","        207.70","        210.65","        211.85","        210.47","    6452638","          1358096399.70","      43299","    2147545","         33.28"
"COALINDIA","EQ","06-Jan-2020","        211.85","        209.95","        209.95","        203.45","        205.15","        205.70","        205.46","    6853058","          1408031161.25","      54913","    2105530","         30.72"
"COALINDIA","EQ","07-Jan-2020","        205.70","        206.50","        208.20","        204.35","        205.75","        205.70","        206.51","    5243225","          1082764694.15","      44407","    2106932","         40.18"
"COALINDIA","EQ","08-Jan-2020","        205.70","        203.00","        204.55","        198.20","        200.50","        200.20","        201.61","    7295998","          1470923022.75","      45845","    2689056","         36.86"
"COALINDIA","EQ","09-Jan-2020","        200.20","        203.25","        203.70","        197.35","        197.95","        198.00","        198.82","   10321169","          2052103333.65","      60490","    5171986","         50.11"
"COALINDIA","EQ","10-Jan-2020","        198.00","        199.15","        206.55","        198.95","        204.50","        205.30","        204.41","   13533598","          2766454309.25","      79389","    3173348","         23.45"
"COALINDIA","EQ","13-Jan-2020","        205.30","        205.30","        212.00","        205.00","        211.60","        211.55","        210.18","    9863555","          2073104016.90","      55913","    2354932","         23.88"
"COALINDIA","EQ","14-Jan-2020","        211.55","        211.15","        213.50","        209.75","        213.00","        212.95","        211.69","    5417581","          1146822954.25","      31792","    2263579","         41.78"
"COALINDIA","EQ","15-Jan-2020","        212.95","        212.60","        214.60","        211.30","        212.40","        212.45","        213.05","    4863227","          1036104173.50","      31945","    2327746","         47.86"
"COALINDIA","EQ","16-Jan-2020","        212.45","        212.45","        212.70","        207.10","        210.20","        210.25","        210.29","    6937929","          1458985085.90","      48580","    3256575","         46.94"
"COALINDIA","EQ","17-Jan-2020","        210.25","        210.00","        210.55","        206.10","        208.10","        207.90","        208.09","    5985342","          1245494975.25","      41319","    2780997","         46.46"
"COALINDIA","EQ","20-Jan-2020","        207.90","        208.00","        209.80","        200.50","        202.20","        201.15","        205.26","    8110607","          1664808518.20","      45643","    3609084","         44.50"
"COALINDIA","EQ","21-Jan-2020","        201.15","        201.15","        205.25","        201.15","        202.35","        202.15","        203.65","    6347967","          1292769079.30","      43002","    2130418","         33.56"
"COALINDIA","EQ","22-Jan-2020","        202.15","        199.10","        199.40","        190.95","        191.55","        191.90","        193.98","   19096395","          3704388205.50","     105972","    6580122","         34.46"
