"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EICHERMOT","EQ","01-Jan-2020","      22515.25","      22515.25","      22594.75","      22001.00","      22090.00","      22075.80","      22214.67","     108648","          2413579501.15","      24089","      12325","         11.34"
"EICHERMOT","EQ","02-Jan-2020","      22075.80","      22090.00","      22341.85","      21471.10","      21568.45","      21600.85","      21781.96","     228582","          4978964687.30","      49509","      24910","         10.90"
"EICHERMOT","EQ","03-Jan-2020","      21600.85","      21650.00","      21665.95","      21110.00","      21210.00","      21189.25","      21241.25","     157297","          3341184989.05","      39542","      36689","         23.32"
"EICHERMOT","EQ","06-Jan-2020","      21189.25","      21100.00","      21100.00","      20739.50","      20882.05","      20860.45","      20909.91","     125871","          2631950934.45","      32455","      22638","         17.99"
"EICHERMOT","EQ","07-Jan-2020","      20860.45","      20950.00","      21349.80","      20713.80","      20800.00","      20803.80","      20900.80","     137152","          2866586718.35","      33833","      27076","         19.74"
"EICHERMOT","EQ","08-Jan-2020","      20803.80","      20700.00","      20700.00","      19800.10","      19900.00","      19892.20","      20147.16","     289286","          5828290278.10","      63714","      97132","         33.58"
"EICHERMOT","EQ","09-Jan-2020","      19892.20","      20238.00","      20500.00","      19860.00","      20328.10","      20328.90","      20169.93","     259287","          5229800136.20","      67037","      53071","         20.47"
"EICHERMOT","EQ","10-Jan-2020","      20328.90","      20330.00","      20740.00","      20250.20","      20385.55","      20432.75","      20505.68","     216926","          4448214979.40","      46942","      29600","         13.65"
"EICHERMOT","EQ","13-Jan-2020","      20432.75","      20600.00","      20600.10","      20063.20","      20295.00","      20280.00","      20249.03","     132092","          2674735245.15","      34819","      20332","         15.39"
"EICHERMOT","EQ","14-Jan-2020","      20280.00","      20270.00","      20579.30","      20255.00","      20464.75","      20489.70","      20460.00","     116226","          2377983728.15","      29367","      18005","         15.49"
"EICHERMOT","EQ","15-Jan-2020","      20489.70","      20440.00","      20650.00","      20300.00","      20620.00","      20624.80","      20503.26","     107956","          2213450413.20","      28993","      22281","         20.64"
"EICHERMOT","EQ","16-Jan-2020","      20624.80","      20699.00","      21600.00","      20650.00","      21509.05","      21536.25","      21309.89","     292195","          6226643750.85","      67657","      73997","         25.32"
"EICHERMOT","EQ","17-Jan-2020","      21536.25","      21509.05","      21770.00","      21103.55","      21292.25","      21292.20","      21443.15","     183485","          3934496163.80","      40136","      25705","         14.01"
"EICHERMOT","EQ","20-Jan-2020","      21292.20","      21380.00","      21549.90","      21005.00","      21360.00","      21365.10","      21288.29","     100593","          2141452727.55","      28635","       8569","          8.52"
"EICHERMOT","EQ","21-Jan-2020","      21365.10","      21358.00","      21475.00","      20970.30","      21005.00","      21056.55","      21173.14","     103236","          2185830453.85","      24458","      13675","         13.25"
"EICHERMOT","EQ","22-Jan-2020","      21056.55","      21160.00","      21280.00","      20944.00","      21070.00","      21100.00","      21113.22","      78681","          1661209487.65","      22313","       8834","         11.23"
"EICHERMOT","EQ","23-Jan-2020","      21100.00","      21070.00","      21196.00","      20780.50","      20905.00","      20915.75","      20926.22","     105958","          2217300424.45","      23020","      18127","         17.11"
"EICHERMOT","EQ","24-Jan-2020","      20915.75","      20980.00","      21175.00","      20800.00","      20900.00","      20930.80","      21026.49","      77075","          1620616788.65","      18834","      13926","         18.07"
"EICHERMOT","EQ","27-Jan-2020","      20930.80","      20850.00","      21160.80","      20775.00","      21091.00","      21095.20","      21047.34","      97108","          2043864929.40","      20882","      33628","         34.63"
"EICHERMOT","EQ","28-Jan-2020","      21095.20","      21227.00","      21227.00","      20875.00","      21086.65","      21086.65","      21078.18","      97277","          2050421794.95","      31697","      29390","         30.21"
"EICHERMOT","EQ","29-Jan-2020","      21086.65","      21236.00","      21236.00","      20100.00","      20136.00","      20192.25","      20455.68","     286925","          5869246364.80","      63311","     117838","         41.07"
"EICHERMOT","EQ","30-Jan-2020","      20192.25","      20200.00","      20580.00","      20200.00","      20300.00","      20340.30","      20399.11","     138559","          2826480445.60","      33188","      17997","         12.99"
"EICHERMOT","EQ","31-Jan-2020","      20340.30","      20450.00","      20641.70","      20211.00","      20240.00","      20289.30","      20375.70","     102123","          2080827849.10","      23667","      17497","         17.13"
"EICHERMOT","EQ","01-Feb-2020","      20289.30","      20290.00","      20598.00","      19910.25","      19990.00","      20059.25","      20246.45","     101381","          2052605565.45","      23997","      18402","         18.15"
"EICHERMOT","EQ","03-Feb-2020","      20059.25","      19547.30","      20375.60","      19511.65","      20000.00","      19883.45","      19910.48","     148637","          2959434355.35","      41404","      27504","         18.50"
"EICHERMOT","EQ","04-Feb-2020","      19883.45","      20000.00","      20139.95","      19450.00","      19523.00","      19512.65","      19685.51","     150092","          2954637702.55","      38791","      41502","         27.65"
"EICHERMOT","EQ","05-Feb-2020","      19512.65","      19712.00","      19800.00","      19356.10","      19500.00","      19487.05","      19572.19","     128333","          2511757229.05","      29504","      31674","         24.68"
"EICHERMOT","EQ","06-Feb-2020","      19487.05","      19625.00","      20641.60","      19261.00","      20530.00","      20391.20","      20053.30","     394575","          7912528987.50","      88628","      83061","         21.05"
"EICHERMOT","EQ","07-Feb-2020","      20391.20","      20500.00","      20516.95","      19666.70","      19750.00","      19736.30","      19858.03","     222415","          4416724817.15","      60419","      59472","         26.74"
"EICHERMOT","EQ","10-Feb-2020","      19736.30","      19855.00","      19855.00","      18790.00","      19070.00","      19057.25","      19117.42","     243747","          4659814222.00","      58239","      64218","         26.35"
"EICHERMOT","EQ","11-Feb-2020","      19057.25","      19250.00","      19368.95","      18945.00","      18975.05","      19009.25","      19171.48","     129553","          2483722938.80","      29666","      24594","         18.98"
