"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAIL","EQ","01-Jan-2020","        121.05","        121.40","        121.80","        119.75","        120.95","        121.20","        120.69","    4704499","           567790397.80","      26255","     951936","         20.23"
"GAIL","EQ","02-Jan-2020","        121.20","        121.50","        123.95","        120.65","        123.40","        123.55","        122.60","    6747917","           827316166.95","      34471","    2318282","         34.36"
"GAIL","EQ","03-Jan-2020","        123.55","        123.70","        128.80","        123.70","        125.50","        125.65","        126.53","   21625485","          2736197890.15","      86172","    8294359","         38.35"
"GAIL","EQ","06-Jan-2020","        125.65","        125.00","        126.25","        122.85","        124.35","        124.35","        124.00","    7719845","           957276300.90","      38654","    3034674","         39.31"
"GAIL","EQ","07-Jan-2020","        124.35","        124.90","        126.05","        123.85","        124.20","        124.45","        124.98","    9298669","          1162157753.45","      43688","    3979351","         42.79"
"GAIL","EQ","08-Jan-2020","        124.45","        123.10","        124.50","        122.75","        124.20","        123.90","        123.63","    3457429","           427429870.45","      20471","     833860","         24.12"
"GAIL","EQ","09-Jan-2020","        123.90","        124.40","        125.40","        123.20","        123.45","        123.70","        123.93","    4143512","           513488184.65","      27825","    1051579","         25.38"
"GAIL","EQ","10-Jan-2020","        123.70","        125.10","        127.75","        124.25","        125.40","        125.35","        126.24","   11336495","          1431156642.20","      68109","    3491075","         30.80"
"GAIL","EQ","13-Jan-2020","        125.35","        125.90","        129.40","        124.90","        129.00","        128.90","        127.26","   10746361","          1367578675.65","      69790","    5588992","         52.01"
"GAIL","EQ","14-Jan-2020","        128.90","        129.50","        132.80","        128.45","        130.10","        130.05","        130.54","   19261286","          2514313181.55","      86099","    7945175","         41.25"
"GAIL","EQ","15-Jan-2020","        130.05","        130.35","        132.05","        128.75","        131.90","        131.65","        130.25","   13068269","          1702142173.65","      71515","    5324365","         40.74"
"GAIL","EQ","16-Jan-2020","        131.65","        132.95","        133.35","        128.35","        129.00","        128.75","        130.35","   14849195","          1935624786.60","      66301","    5446536","         36.68"
"GAIL","EQ","17-Jan-2020","        128.75","        126.90","        127.40","        122.75","        126.00","        126.35","        126.11","   16704967","          2106623011.80","     102742","    6676413","         39.97"
"GAIL","EQ","20-Jan-2020","        126.35","        126.00","        129.05","        124.55","        128.00","        127.80","        127.24","   13405397","          1705652898.30","      71786","    5620726","         41.93"
"GAIL","EQ","21-Jan-2020","        127.80","        128.35","        129.55","        126.30","        127.20","        126.75","        128.00","   10092350","          1291793153.30","      61759","    3215305","         31.86"
"GAIL","EQ","22-Jan-2020","        126.75","        127.20","        127.90","        125.50","        126.05","        125.90","        126.33","    5781553","           730372547.95","      53536","    2540656","         43.94"
"GAIL","EQ","23-Jan-2020","        125.90","        125.70","        130.70","        125.20","        129.45","        129.65","        128.60","   13600475","          1749001392.45","      56848","    3904954","         28.71"
"GAIL","EQ","24-Jan-2020","        129.65","        129.85","        131.70","        129.15","        129.50","        129.50","        130.44","   10451848","          1363365923.95","      54500","    3980044","         38.08"
"GAIL","EQ","27-Jan-2020","        129.50","        129.00","        129.50","        126.10","        126.65","        126.75","        127.46","    5511979","           702568484.70","      31089","    1794573","         32.56"
"GAIL","EQ","28-Jan-2020","        126.75","        127.00","        127.45","        125.20","        126.00","        126.15","        126.50","    6610020","           836188773.35","      33774","    2706703","         40.95"
"GAIL","EQ","29-Jan-2020","        126.15","        127.70","        128.85","        125.60","        126.20","        126.25","        126.93","   11151054","          1415350870.60","      49865","    4603231","         41.28"
"GAIL","EQ","30-Jan-2020","        126.25","        126.25","        126.75","        123.00","        123.45","        123.35","        124.60","    7496704","           934092451.25","      39463","    3318468","         44.27"
