"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRASIM","EQ","01-Jan-2020","        743.65","        746.80","        747.40","        738.60","        742.70","        742.50","        742.83","     685313","           509074279.20","      11402","      47464","          6.93"
"GRASIM","EQ","02-Jan-2020","        742.50","        742.00","        768.50","        741.00","        765.30","        766.35","        759.06","    2413731","          1832154895.55","      35565","     415238","         17.20"
"GRASIM","EQ","03-Jan-2020","        766.35","        769.95","        769.95","        751.50","        756.45","        756.65","        759.61","    1411458","          1072152163.45","      24417","     283619","         20.09"
"GRASIM","EQ","06-Jan-2020","        756.65","        755.40","        755.80","        735.00","        735.00","        737.00","        741.97","     957541","           710466463.80","      18763","     200062","         20.89"
"GRASIM","EQ","07-Jan-2020","        737.00","        738.20","        756.00","        735.50","        742.30","        742.30","        743.67","    1104012","           821025413.60","      19977","     150669","         13.65"
"GRASIM","EQ","08-Jan-2020","        742.30","        735.40","        749.90","        733.60","        742.70","        742.65","        743.64","    1312487","           976018246.65","      20705","     198427","         15.12"
"GRASIM","EQ","09-Jan-2020","        742.65","        752.95","        761.30","        750.05","        755.20","        757.30","        756.40","    1471931","          1113375932.80","      27280","     541953","         36.82"
"GRASIM","EQ","10-Jan-2020","        757.30","        756.80","        766.50","        751.00","        755.40","        756.25","        758.37","    1261460","           956653080.90","      22582","     320599","         25.41"
"GRASIM","EQ","13-Jan-2020","        756.25","        757.00","        765.00","        757.00","        761.40","        759.60","        761.58","     832679","           634151733.05","      13743","     165586","         19.89"
"GRASIM","EQ","14-Jan-2020","        759.60","        762.80","        767.90","        753.10","        759.90","        759.90","        760.60","    1186220","           902235067.40","      24735","     287194","         24.21"
"GRASIM","EQ","15-Jan-2020","        759.90","        758.00","        769.00","        747.50","        767.90","        766.40","        756.72","    1516061","          1147234258.70","      22328","     487311","         32.14"
"GRASIM","EQ","16-Jan-2020","        766.40","        767.35","        771.00","        753.10","        755.90","        756.05","        760.86","    1037376","           789299494.80","      20850","     245865","         23.70"
