"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","01-Jan-2020","        568.10","        569.40","        572.90","        566.85","        571.10","        571.95","        570.49","     918373","           523918302.05","      17539","     503196","         54.79"
"HCLTECH","EQ","02-Jan-2020","        571.95","        572.55","        575.00","        570.50","        574.00","        573.55","        573.24","    1075642","           616604442.20","      52734","     523259","         48.65"
"HCLTECH","EQ","03-Jan-2020","        573.55","        574.00","        588.50","        572.85","        582.00","        585.05","        584.14","    3269446","          1909826833.00","      77707","    1071299","         32.77"
"HCLTECH","EQ","06-Jan-2020","        585.05","        585.00","        592.20","        579.45","        581.90","        582.00","        584.22","    3589985","          2097334940.20","      60726","    1698341","         47.31"
"HCLTECH","EQ","07-Jan-2020","        582.00","        582.00","        587.75","        579.05","        583.90","        584.25","        584.46","    3179728","          1858421839.65","      90166","    2016150","         63.41"
"HCLTECH","EQ","08-Jan-2020","        584.25","        583.00","        593.00","        578.00","        585.00","        585.75","        587.17","    3593096","          2109768987.90","     100124","    2062014","         57.39"
"HCLTECH","EQ","09-Jan-2020","        585.75","        586.00","        588.15","        579.25","        580.95","        580.30","        581.99","    2313648","          1346525671.95","      55170","    1203611","         52.02"
"HCLTECH","EQ","10-Jan-2020","        580.30","        582.00","        589.80","        577.40","        580.40","        580.35","        583.18","    2049636","          1195316777.85","      77150","     912075","         44.50"
"HCLTECH","EQ","13-Jan-2020","        580.35","        583.95","        590.00","        581.00","        587.00","        586.50","        584.94","    4096054","          2395926901.90","      88858","    2557536","         62.44"
"HCLTECH","EQ","14-Jan-2020","        586.50","        587.20","        597.40","        587.15","        594.00","        594.30","        592.35","    3395378","          2011260219.45","     100342","    1567640","         46.17"
"HCLTECH","EQ","15-Jan-2020","        594.30","        597.00","        598.30","        591.70","        595.00","        595.75","        594.99","    2348102","          1397101271.60","      47737","    1263518","         53.81"
"HCLTECH","EQ","16-Jan-2020","        595.75","        597.00","        598.30","        586.75","        594.65","        593.25","        593.17","    2107442","          1250064106.35","      58134","     925645","         43.92"
"HCLTECH","EQ","17-Jan-2020","        593.25","        585.00","        602.00","        585.00","        600.50","        598.80","        594.66","    4555694","          2709100492.25","      69220","    1932730","         42.42"
"HCLTECH","EQ","20-Jan-2020","        598.80","        618.00","        618.00","        584.10","        588.95","        589.25","        594.82","   10272118","          6110077607.60","     124801","    2672077","         26.01"
"HCLTECH","EQ","21-Jan-2020","        589.25","        589.30","        593.25","        582.35","        582.75","        584.05","        587.79","    2640668","          1552159511.65","      74242","    1136410","         43.03"
"HCLTECH","EQ","22-Jan-2020","        584.05","        585.20","        595.00","        581.50","        590.20","        590.65","        591.32","    4402650","          2603383754.65","     111318","    2198140","         49.93"
"HCLTECH","EQ","23-Jan-2020","        590.65","        590.10","        599.95","        587.00","        598.00","        598.95","        596.55","    6089397","          3632609992.95","      97913","    4369373","         71.75"
"HCLTECH","EQ","24-Jan-2020","        598.95","        599.00","        609.00","        595.50","        607.40","        607.70","        605.57","    3551260","          2150553376.75","      79737","    1947518","         54.84"
"HCLTECH","EQ","27-Jan-2020","        607.70","        607.70","        608.00","        601.75","        605.55","        604.35","        605.04","    2450421","          1482591558.95","      34778","    1638147","         66.85"
"HCLTECH","EQ","28-Jan-2020","        604.35","        607.30","        607.35","        592.60","        602.85","        601.45","        598.41","    5330709","          3189957865.40","     122378","    4045256","         75.89"
"HCLTECH","EQ","29-Jan-2020","        601.45","        605.00","        611.50","        602.20","        608.85","        608.85","        608.53","    4281329","          2605296082.35","      81339","    3214524","         75.08"
"HCLTECH","EQ","30-Jan-2020","        608.85","        612.00","        613.85","        603.65","        607.90","        607.85","        607.69","    3334901","          2026594901.40","      99651","    2341231","         70.20"
"HCLTECH","EQ","31-Jan-2020","        607.85","        607.85","        608.90","        589.60","        591.60","        591.40","        595.05","    3590768","          2136694876.85","     100805","    2302497","         64.12"
"HCLTECH","EQ","01-Feb-2020","        591.40","        591.40","        597.70","        580.75","        590.80","        590.90","        589.72","     941425","           555181526.40","      20264","     243753","         25.89"
"HCLTECH","EQ","03-Feb-2020","        590.90","        591.40","        593.65","        577.50","        579.85","        579.10","        583.95","    4024193","          2349921570.35","     105851","    2708631","         67.31"
"HCLTECH","EQ","04-Feb-2020","        579.10","        583.00","        589.25","        582.50","        587.80","        586.50","        586.68","    3246094","          1904422834.70","      70121","    2304138","         70.98"
"HCLTECH","EQ","05-Feb-2020","        586.50","        589.40","        598.50","        586.00","        595.00","        595.60","        594.34","    3006324","          1786763873.75","     109513","    1738594","         57.83"
"HCLTECH","EQ","06-Feb-2020","        595.60","        598.95","        613.00","        598.00","        601.00","        599.70","        603.60","    4704968","          2839896598.15","      81356","    2808209","         59.69"
"HCLTECH","EQ","07-Feb-2020","        599.70","        601.65","        609.20","        599.15","        605.00","        607.70","        605.10","    2865379","          1733839280.50","      57503","    1827003","         63.76"
"HCLTECH","EQ","10-Feb-2020","        607.70","        608.90","        611.55","        601.65","        603.00","        604.90","        605.70","    2286213","          1384767003.45","      34996","    1591595","         69.62"
"HCLTECH","EQ","11-Feb-2020","        604.90","        606.00","        613.75","        605.70","        610.95","        610.65","        610.79","    2458748","          1501768180.25","     118909","    1671637","         67.99"
"HCLTECH","EQ","12-Feb-2020","        610.65","        613.00","        620.50","        610.30","        612.20","        614.10","        614.82","    4873027","          2996058413.80","     108142","    3438041","         70.55"
"HCLTECH","EQ","13-Feb-2020","        614.10","        612.00","        613.95","        604.05","        612.50","        612.45","        608.15","    2090363","          1271260965.45","      44088","    1084025","         51.86"
"HCLTECH","EQ","14-Feb-2020","        612.45","        612.45","        623.25","        612.25","        622.15","        621.65","        619.82","    3650630","          2262731807.85","     101590","    2322074","         63.61"
"HCLTECH","EQ","17-Feb-2020","        621.65","        623.00","        623.50","        612.35","        613.45","        613.45","        615.53","    2190578","          1348368545.80","      73941","    1371469","         62.61"
"HCLTECH","EQ","18-Feb-2020","        613.45","        613.45","        615.80","        605.15","        609.80","        607.05","        608.11","    5237465","          3184953678.30","      71859","    3944951","         75.32"
"HCLTECH","EQ","19-Feb-2020","        607.05","        614.45","        618.25","        604.00","        604.45","        605.75","        610.10","    3799862","          2318282583.10","      73152","    2634371","         69.33"
"HCLTECH","EQ","20-Feb-2020","        605.75","        611.00","        612.95","        605.15","        610.00","        608.05","        608.47","    4820313","          2932993838.55","     115488","    3765792","         78.12"
"HCLTECH","EQ","24-Feb-2020","        608.05","        608.00","        609.00","        591.50","        592.15","        595.15","        602.49","    4070143","          2452203952.25","     105019","    2871001","         70.54"
"HCLTECH","EQ","25-Feb-2020","        595.15","        595.50","        595.70","        575.00","        583.20","        582.45","        582.04","    5525575","          3216091090.50","     115367","    3351569","         60.66"
"HCLTECH","EQ","26-Feb-2020","        582.45","        576.90","        589.05","        575.50","        583.25","        583.60","        582.92","    5460070","          3182772786.15","     100228","    3912612","         71.66"
"HCLTECH","EQ","27-Feb-2020","        583.60","        582.10","        582.40","        568.00","        571.00","        573.05","        573.13","    4078174","          2337341544.00","      97257","    2571171","         63.05"
"HCLTECH","EQ","28-Feb-2020","        573.05","        560.00","        564.00","        531.20","        539.00","        534.35","        546.95","    7894806","          4318041180.30","     161062","    5641457","         71.46"
"HCLTECH","EQ","02-Mar-2020","        534.35","        541.05","        565.85","        537.85","        547.60","        549.70","        553.95","    8175982","          4529087569.80","     166431","    4757527","         58.19"
"HCLTECH","EQ","03-Mar-2020","        549.70","        556.00","        568.75","        555.00","        568.20","        565.05","        561.76","    4682284","          2630302017.20","     131005","    2921488","         62.39"
"HCLTECH","EQ","04-Mar-2020","        565.05","        569.00","        575.40","        561.00","        562.20","        563.10","        566.67","    5175180","          2932609654.30","     104336","    2995152","         57.88"
"HCLTECH","EQ","05-Mar-2020","        563.10","        568.00","        581.90","        563.15","        576.00","        576.40","        578.35","    6061347","          3505571601.10","      89062","    3342007","         55.14"
"HCLTECH","EQ","06-Mar-2020","        576.40","        570.00","        573.95","        559.55","        568.00","        566.20","        564.49","    3288548","          1856339904.15","      72399","    1780941","         54.16"
"HCLTECH","EQ","09-Mar-2020","        566.20","        555.00","        558.00","        536.45","        542.55","        540.45","        543.06","    3699831","          2009218670.10","      82357","    2008244","         54.28"
"HCLTECH","EQ","11-Mar-2020","        540.45","        526.75","        542.65","        514.00","        538.05","        536.80","        533.80","    4850036","          2588947282.40","     105339","    2600565","         53.62"
"HCLTECH","EQ","12-Mar-2020","        536.80","        521.00","        527.80","        486.35","        494.00","        493.35","        506.11","    5321420","          2693243988.90","     161096","    3096516","         58.19"
"HCLTECH","EQ","13-Mar-2020","        493.35","        460.00","        517.25","        395.95","        497.00","        492.90","        479.71","    6859998","          3290807920.40","     117288","    2869311","         41.83"
"HCLTECH","EQ","16-Mar-2020","        492.90","        469.00","        479.80","        446.85","        453.25","        450.70","        464.14","    5281596","          2451413146.30","     126930","    2981225","         56.45"
"HCLTECH","EQ","17-Mar-2020","        450.70","        450.00","        478.60","        443.35","        455.00","        450.65","        459.39","    5148569","          2365223532.45","      99381","    2957732","         57.45"
"HCLTECH","EQ","18-Mar-2020","        450.65","        455.00","        464.80","        429.05","        437.00","        434.25","        442.39","    4936460","          2183860725.15","     123650","    2901862","         58.78"
"HCLTECH","EQ","19-Mar-2020","        434.25","        418.90","        434.60","        375.25","        419.00","        413.45","        413.01","    9270054","          3828624864.05","     184203","    4577255","         49.38"
"HCLTECH","EQ","20-Mar-2020","        413.45","        413.50","        461.95","        411.85","        444.70","        444.90","        441.91","   11916337","          5265991518.60","     199014","    7002639","         58.77"
"HCLTECH","EQ","23-Mar-2020","        444.90","        415.00","        444.00","        400.45","        425.00","        417.15","        415.77","    9525670","          3960473954.45","     111898","    6474510","         67.97"
"HCLTECH","EQ","24-Mar-2020","        417.15","        413.00","        458.85","        411.85","        449.00","        442.05","        442.27","    9915954","          4385560836.55","     142298","    6044388","         60.96"
"HCLTECH","EQ","25-Mar-2020","        442.05","        432.00","        468.00","        417.75","        436.00","        457.60","        445.12","   11976272","          5330864585.65","     109934","    8694881","         72.60"
"HCLTECH","EQ","26-Mar-2020","        457.60","        461.10","        466.75","        441.10","        445.70","        447.70","        451.39","    9504717","          4290299456.10","     113214","    6559488","         69.01"
"HCLTECH","EQ","27-Mar-2020","        447.70","        450.25","        457.45","        420.50","        434.00","        430.65","        431.25","    9151132","          3946409120.55","     145850","    5896317","         64.43"
"HCLTECH","EQ","30-Mar-2020","        430.65","        410.00","        438.65","        410.00","        424.00","        419.00","        426.61","    6325701","          2698581018.65","     114637","    3625106","         57.31"
"HCLTECH","EQ","31-Mar-2020","        419.00","        433.20","        449.40","        425.30","        433.00","        436.40","        439.08","    6381824","          2802104922.90","     118664","    4308600","         67.51"
"HCLTECH","EQ","01-Apr-2020","        436.40","        433.00","        433.20","        408.20","        414.65","        413.55","        421.79","    8136746","          3431993954.75","     112951","    5298743","         65.12"
"HCLTECH","EQ","03-Apr-2020","        413.55","        418.90","        428.60","        399.30","        409.85","        405.80","        415.48","    8166456","          3393014502.00","     157013","    4330439","         53.03"
"HCLTECH","EQ","07-Apr-2020","        405.80","        425.00","        457.95","        425.00","        456.00","        451.15","        443.19","    5972948","          2647166163.20","     120075","    3101333","         51.92"
"HCLTECH","EQ","08-Apr-2020","        451.15","        451.00","        476.80","        449.00","        466.25","        463.10","        467.34","    7991062","          3734513998.30","     111912","    4502299","         56.34"
"HCLTECH","EQ","09-Apr-2020","        463.10","        480.70","        481.00","        462.00","        470.00","        469.05","        469.60","    5069246","          2380516357.20","      85608","    3071039","         60.58"
"HCLTECH","EQ","13-Apr-2020","        469.05","        470.00","        471.00","        454.00","        461.00","        458.25","        458.64","    2236731","          1025850219.30","      54865","    1046353","         46.78"
"HCLTECH","EQ","15-Apr-2020","        458.25","        470.00","        482.00","        462.70","        481.20","        478.75","        473.04","    6333192","          2995860466.25","     124242","    3809593","         60.15"
"HCLTECH","EQ","16-Apr-2020","        478.75","        473.00","        476.00","        456.70","        459.80","        459.75","        464.99","   10484847","          4875303122.95","     225515","    6289179","         59.98"
"HCLTECH","EQ","17-Apr-2020","        459.75","        470.00","        475.00","        453.65","        457.00","        455.25","        460.60","    4706460","          2167802342.15","     119829","    2243641","         47.67"
"HCLTECH","EQ","20-Apr-2020","        455.25","        458.00","        473.60","        453.50","        469.90","        470.00","        467.39","    4801120","          2243978570.55","     115539","    2034232","         42.37"
"HCLTECH","EQ","21-Apr-2020","        470.00","        458.00","        464.95","        447.85","        455.05","        455.70","        455.24","    3405204","          1550199472.95","      60418","    1831035","         53.77"
"HCLTECH","EQ","22-Apr-2020","        455.70","        453.00","        469.45","        450.00","        463.50","        462.40","        461.49","    3768051","          1738902050.00","      71852","    1690529","         44.86"
"HCLTECH","EQ","23-Apr-2020","        462.40","        465.00","        480.75","        462.40","        480.00","        477.70","        473.72","    3054988","          1447212593.15","      61297","    1315670","         43.07"
"HCLTECH","EQ","24-Apr-2020","        477.70","        480.00","        496.90","        465.15","        468.10","        468.10","        479.58","    6738441","          3231611938.70","     104786","    1679809","         24.93"
"HCLTECH","EQ","27-Apr-2020","        468.10","        473.10","        485.70","        467.25","        484.00","        483.10","        478.49","    2914600","          1394616385.75","      66778","    1260373","         43.24"
"HCLTECH","EQ","28-Apr-2020","        483.10","        489.00","        489.00","        469.45","        474.25","        471.10","        473.89","    4262239","          2019852356.35","      58064","    2063716","         48.42"
"HCLTECH","EQ","29-Apr-2020","        471.10","        474.80","        501.00","        470.20","        495.00","        491.75","        481.70","    3849156","          1854120925.20","      74523","    1876703","         48.76"
"HCLTECH","EQ","30-Apr-2020","        491.75","        506.50","        565.50","        501.00","        545.00","        543.55","        527.51","    8035698","          4238930037.60","     142686","    2693252","         33.52"
"HCLTECH","EQ","04-May-2020","        543.55","        527.50","        527.50","        508.20","        514.90","        514.25","        513.96","    7032553","          3614482821.40","     143067","    3993112","         56.78"
"HCLTECH","EQ","05-May-2020","        514.25","        526.00","        529.90","        515.65","        521.30","        520.40","        522.08","    4592833","          2397806446.80","      93760","    2238007","         48.73"
"HCLTECH","EQ","06-May-2020","        520.40","        512.20","        526.70","        506.20","        521.00","        519.10","        517.81","    6921536","          3584016691.65","     144546","    3515933","         50.80"
