"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCLIFE","EQ","01-Jan-2020","        626.05","        623.00","        626.00","        616.35","        621.50","        621.45","        620.41","    1749377","          1085334201.20","      69565","     554279","         31.68"
"HDFCLIFE","EQ","02-Jan-2020","        621.45","        622.70","        638.80","        618.40","        633.00","        634.25","        631.51","    1973981","          1246590868.35","      48203","     873147","         44.23"
"HDFCLIFE","EQ","03-Jan-2020","        634.25","        631.00","        637.45","        626.40","        631.50","        630.70","        631.08","    2401828","          1515752993.65","      40553","    1693746","         70.52"
"HDFCLIFE","EQ","06-Jan-2020","        630.70","        627.40","        627.40","        611.50","        619.60","        619.55","        621.02","    4175516","          2593094426.50","      63567","    3091310","         74.03"
"HDFCLIFE","EQ","07-Jan-2020","        619.55","        623.60","        643.70","        623.60","        629.95","        629.95","        632.32","    2827658","          1787971492.60","      46697","    1647299","         58.26"
"HDFCLIFE","EQ","08-Jan-2020","        629.95","        622.00","        631.80","        618.50","        629.30","        628.85","        624.34","    2248332","          1403714485.00","      36564","    1489395","         66.24"
"HDFCLIFE","EQ","09-Jan-2020","        628.85","        635.00","        636.50","        627.80","        629.70","        631.50","        632.09","    1338705","           846178374.90","      41299","     718408","         53.66"
"HDFCLIFE","EQ","10-Jan-2020","        631.50","        632.40","        634.00","        618.75","        621.60","        623.10","        625.21","    2181852","          1364112944.95","      49891","    1305664","         59.84"
"HDFCLIFE","EQ","13-Jan-2020","        623.10","        627.90","        633.05","        623.60","        624.70","        625.40","        626.88","    1161466","           728098837.80","      58017","     688078","         59.24"
"HDFCLIFE","EQ","14-Jan-2020","        625.40","        626.50","        627.00","        612.75","        614.20","        614.25","        619.68","    2109229","          1307053562.30","      63246","    1565705","         74.23"
"HDFCLIFE","EQ","15-Jan-2020","        614.25","        614.00","        620.50","        612.75","        616.20","        616.55","        616.40","    1621297","           999364140.25","      55931","     894808","         55.19"
"HDFCLIFE","EQ","16-Jan-2020","        616.55","        624.00","        625.00","        605.80","        608.90","        607.50","        612.36","    3196222","          1957247426.55","      77222","    1899354","         59.42"
"HDFCLIFE","EQ","17-Jan-2020","        607.50","        607.50","        611.55","        601.70","        606.35","        607.65","        607.17","    2313300","          1404564898.70","      57721","    1264300","         54.65"
"HDFCLIFE","EQ","20-Jan-2020","        607.65","        611.00","        612.45","        597.10","        598.80","        598.25","        602.23","    1870028","          1126190676.80","      49916","    1132638","         60.57"
"HDFCLIFE","EQ","21-Jan-2020","        598.25","        595.70","        609.70","        594.15","        602.50","        602.00","        604.17","    1597879","           965398487.05","      44659","     698180","         43.69"
"HDFCLIFE","EQ","22-Jan-2020","        602.00","        604.90","        616.50","        602.65","        613.00","        612.75","        611.76","    2066862","          1264417841.15","      52811","     929094","         44.95"
"HDFCLIFE","EQ","23-Jan-2020","        612.75","        614.30","        621.90","        611.50","        616.95","        616.00","        617.75","    1685313","          1041106398.90","      40823","     817191","         48.49"
"HDFCLIFE","EQ","24-Jan-2020","        616.00","        607.90","        611.25","        602.80","        607.10","        607.25","        606.56","    2188192","          1327275649.85","      55472","    1150580","         52.58"
"HDFCLIFE","EQ","27-Jan-2020","        607.25","        604.80","        605.70","        598.10","        598.65","        599.70","        601.59","    1531808","           921519780.35","      40945","     907140","         59.22"
"HDFCLIFE","EQ","28-Jan-2020","        599.70","        601.00","        611.90","        599.00","        603.25","        603.75","        606.96","    1651481","          1002384318.00","      44253","     729849","         44.19"
