"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDALCO","EQ","01-Jan-2020","        216.15","        216.15","        217.45","        213.20","        214.80","        214.30","        214.92","    5085208","          1092935267.45","      32236","     989173","         19.45"
"HINDALCO","EQ","02-Jan-2020","        214.30","        216.00","        221.20","        216.00","        219.60","        220.15","        218.22","   15238841","          3325410286.90","     143217","    6397526","         41.98"
"HINDALCO","EQ","03-Jan-2020","        220.15","        219.30","        219.95","        216.05","        216.50","        216.45","        217.48","    8658243","          1882983521.80","      66849","    2631189","         30.39"
"HINDALCO","EQ","06-Jan-2020","        216.45","        215.00","        215.65","        208.05","        208.45","        209.30","        210.86","    7798846","          1644474458.25","      60487","    2375147","         30.46"
"HINDALCO","EQ","07-Jan-2020","        209.30","        210.55","        213.20","        207.70","        208.70","        208.85","        210.43","   12767569","          2686692273.65","      67553","    6270667","         49.11"
"HINDALCO","EQ","08-Jan-2020","        208.85","        206.00","        208.65","        204.50","        207.00","        207.40","        206.57","   12470053","          2575877592.20","      65064","    6057097","         48.57"
"HINDALCO","EQ","09-Jan-2020","        207.40","        211.50","        211.95","        208.90","        210.30","        210.75","        210.50","    8676205","          1826382279.05","      66672","    4278743","         49.32"
"HINDALCO","EQ","10-Jan-2020","        210.75","        212.30","        214.20","        210.20","        211.15","        211.50","        212.17","    7800086","          1654963675.90","      50669","    1939470","         24.86"
"HINDALCO","EQ","13-Jan-2020","        211.50","        212.80","        213.00","        209.50","        210.90","        211.20","        211.28","    6614653","          1397573779.40","      37968","    2889698","         43.69"
"HINDALCO","EQ","14-Jan-2020","        211.20","        212.50","        214.75","        210.80","        211.70","        211.95","        212.49","    7981507","          1696000728.95","      38799","    2958802","         37.07"
"HINDALCO","EQ","15-Jan-2020","        211.95","        211.10","        215.00","        210.00","        213.25","        213.65","        213.23","    9564560","          2039414000.80","      54188","    3619986","         37.85"
"HINDALCO","EQ","16-Jan-2020","        213.65","        214.00","        214.75","        209.00","        209.60","        209.65","        210.50","    6986058","          1470560705.50","      33488","    2203348","         31.54"
"HINDALCO","EQ","17-Jan-2020","        209.65","        209.50","        212.00","        208.15","        210.10","        210.05","        210.32","    8678002","          1825131354.45","      65564","    4109088","         47.35"
"HINDALCO","EQ","20-Jan-2020","        210.05","        210.10","        210.80","        206.75","        207.25","        207.30","        208.11","    3977566","           827789554.50","      42456","    1205496","         30.31"
"HINDALCO","EQ","21-Jan-2020","        207.30","        206.00","        208.50","        204.65","        205.10","        205.15","        206.26","    4479791","           923979559.50","      38494","     985836","         22.01"
"HINDALCO","EQ","22-Jan-2020","        205.15","        205.60","        207.80","        203.00","        203.50","        203.60","        205.36","    6268889","          1287371647.35","      46260","    2275602","         36.30"
"HINDALCO","EQ","23-Jan-2020","        203.60","        203.60","        205.35","        202.75","        204.50","        204.60","        204.05","    5560681","          1134681779.15","      37066","    2466305","         44.35"
"HINDALCO","EQ","24-Jan-2020","        204.60","        204.50","        207.70","        202.25","        205.25","        205.40","        205.56","    5749852","          1181929281.45","      35101","    2080775","         36.19"
"HINDALCO","EQ","27-Jan-2020","        205.40","        203.55","        203.55","        197.40","        200.00","        198.25","        199.78","    7942736","          1586783814.70","      65835","    2615740","         32.93"
"HINDALCO","EQ","28-Jan-2020","        198.25","        199.40","        199.40","        194.20","        196.20","        196.00","        196.39","    6308211","          1238838178.80","      53007","    2124902","         33.68"
"HINDALCO","EQ","29-Jan-2020","        196.00","        197.65","        200.40","        197.10","        197.45","        197.75","        198.84","    8978837","          1785389586.75","      75257","    4579091","         51.00"
"HINDALCO","EQ","30-Jan-2020","        197.75","        197.30","        197.75","        192.70","        193.00","        193.45","        195.34","    8588693","          1677745053.30","      81727","    3567495","         41.54"
"HINDALCO","EQ","31-Jan-2020","        193.45","        194.80","        195.15","        188.25","        189.40","        189.35","        191.37","    6008376","          1149798787.85","      41427","    2464829","         41.02"
"HINDALCO","EQ","01-Feb-2020","        189.35","        187.65","        189.85","        182.80","        184.45","        184.40","        186.66","    3885637","           725300351.10","      31698","     967351","         24.90"
"HINDALCO","EQ","03-Feb-2020","        184.40","        183.90","        185.60","        180.30","        182.20","        181.80","        182.39","    7678833","          1400518974.85","      39146","    3409110","         44.40"
"HINDALCO","EQ","04-Feb-2020","        181.80","        183.00","        190.35","        183.00","        189.15","        189.25","        187.57","    9235507","          1732305691.00","      50911","    3129765","         33.89"
"HINDALCO","EQ","05-Feb-2020","        189.25","        190.10","        197.55","        188.30","        196.10","        196.30","        193.00","    7411014","          1430326774.35","      40302","    2940283","         39.67"
"HINDALCO","EQ","06-Feb-2020","        196.30","        196.40","        197.35","        192.65","        194.00","        194.00","        194.65","    7348886","          1430429558.30","      38862","    3084697","         41.98"
"HINDALCO","EQ","07-Feb-2020","        194.00","        194.00","        198.40","        192.85","        195.95","        197.40","        197.01","    6977770","          1374721057.70","      33718","    2572151","         36.86"
"HINDALCO","EQ","10-Feb-2020","        197.40","        195.90","        196.95","        189.60","        191.00","        190.85","        191.79","    5385023","          1032787175.75","      45111","    2062021","         38.29"
"HINDALCO","EQ","11-Feb-2020","        190.85","        192.40","        196.95","        192.00","        194.05","        193.65","        194.74","    7530810","          1466576337.35","      60044","    2051355","         27.24"
"HINDALCO","EQ","12-Feb-2020","        193.65","        194.25","        196.40","        191.20","        194.60","        193.65","        194.11","   10581151","          2053871417.10","      68567","    1613667","         15.25"
"HINDALCO","EQ","13-Feb-2020","        193.65","        194.70","        197.00","        192.40","        195.30","        195.25","        194.98","    6711481","          1308571553.65","      43249","    1463865","         21.81"
"HINDALCO","EQ","14-Feb-2020","        195.25","        195.50","        197.00","        193.45","        193.75","        194.00","        195.39","    3798528","           742176629.20","      27239","     748264","         19.70"
"HINDALCO","EQ","17-Feb-2020","        194.00","        194.00","        194.70","        189.75","        190.45","        190.25","        191.78","    3484321","           668218072.55","      18760","     638577","         18.33"
"HINDALCO","EQ","18-Feb-2020","        190.25","        189.15","        189.45","        181.75","        184.80","        184.35","        185.12","    8152961","          1509300995.80","      51983","    2851173","         34.97"
"HINDALCO","EQ","19-Feb-2020","        184.35","        186.00","        188.60","        184.40","        187.95","        188.10","        186.67","    4317249","           805885168.90","      32558","     896770","         20.77"
"HINDALCO","EQ","20-Feb-2020","        188.10","        187.80","        191.00","        185.40","        190.00","        189.95","        188.82","    6207445","          1172072212.65","      29616","    1726091","         27.81"
"HINDALCO","EQ","24-Feb-2020","        189.95","        186.90","        186.90","        177.90","        179.40","        179.05","        180.69","   14690243","          2654437487.95","      85565","    4368102","         29.73"
"HINDALCO","EQ","25-Feb-2020","        179.05","        181.00","        181.45","        174.05","        174.40","        174.45","        177.41","   10694830","          1897354200.95","      59947","    4220421","         39.46"
"HINDALCO","EQ","26-Feb-2020","        174.45","        172.95","        173.20","        167.75","        169.85","        169.90","        169.93","   16855158","          2864166656.80","      86262","    7170275","         42.54"
"HINDALCO","EQ","27-Feb-2020","        169.90","        169.95","        170.30","        166.15","        168.40","        168.35","        168.02","    7657497","          1286643287.45","      61177","    2210952","         28.87"
"HINDALCO","EQ","28-Feb-2020","        168.35","        162.00","        162.20","        154.10","        155.00","        155.90","        158.36","   14033411","          2222273050.25","     102274","    5279896","         37.62"
"HINDALCO","EQ","02-Mar-2020","        155.90","        160.55","        161.45","        146.85","        151.45","        149.75","        155.40","   11441351","          1778020670.40","      95290","    3483535","         30.45"
"HINDALCO","EQ","03-Mar-2020","        149.75","        152.10","        160.45","        150.80","        160.10","        159.30","        154.88","   21836942","          3382003684.15","     123096","    9642815","         44.16"
"HINDALCO","EQ","04-Mar-2020","        159.30","        160.00","        161.70","        156.90","        161.00","        160.60","        159.31","   12074078","          1923573814.55","      85696","    3383918","         28.03"
