"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","01-Jan-2020","        538.90","        539.90","        542.50","        535.70","        538.00","        536.75","        538.00","    7642793","          4111822132.90","      63603","    3140787","         41.09"
"ICICIBANK","EQ","02-Jan-2020","        536.75","        536.00","        541.90","        535.85","        540.80","        540.60","        539.44","   10264223","          5536965873.95","      98335","    5046054","         49.16"
"ICICIBANK","EQ","03-Jan-2020","        540.60","        538.00","        540.80","        536.25","        539.50","        538.85","        538.46","    9594690","          5166326489.50","      93857","    4945623","         51.55"
"ICICIBANK","EQ","06-Jan-2020","        538.85","        537.25","        537.25","        523.80","        525.70","        525.70","        527.51","   12534334","          6612005687.65","     125249","    7567496","         60.37"
"ICICIBANK","EQ","07-Jan-2020","        525.70","        531.30","        535.60","        521.65","        524.15","        522.90","        526.71","   16101835","          8480927246.90","     131048","    8539094","         53.03"
"ICICIBANK","EQ","08-Jan-2020","        522.90","        516.00","        527.35","        515.00","        525.80","        525.95","        521.67","   16094310","          8395981308.45","     139653","    6287746","         39.07"
"ICICIBANK","EQ","09-Jan-2020","        525.95","        530.70","        547.40","        530.30","        545.60","        546.30","        541.74","   18934019","         10257378595.55","     206294","    7775476","         41.07"
"ICICIBANK","EQ","10-Jan-2020","        546.30","        544.90","        546.50","        538.50","        540.15","        540.25","        542.57","   12335407","          6692860338.45","     156533","    5411673","         43.87"
"ICICIBANK","EQ","13-Jan-2020","        540.25","        539.40","        546.05","        538.00","        539.00","        538.60","        541.12","    7901800","          4275800485.15","      87689","    3670666","         46.45"
"ICICIBANK","EQ","14-Jan-2020","        538.60","        536.20","        538.95","        534.15","        538.15","        537.60","        536.42","   13939440","          7477421562.85","     138643","    8155557","         58.51"
"ICICIBANK","EQ","15-Jan-2020","        537.60","        535.10","        536.95","        530.65","        535.50","        535.60","        533.21","   12353176","          6586848131.75","     146646","    7720548","         62.50"
"ICICIBANK","EQ","16-Jan-2020","        535.60","        533.90","        540.00","        533.20","        536.80","        537.15","        536.51","   11249232","          6035299029.10","     127585","    5200358","         46.23"
"ICICIBANK","EQ","17-Jan-2020","        537.15","        534.50","        538.00","        530.60","        530.65","        532.05","        534.57","   18312609","          9789445247.65","     163715","   11972622","         65.38"
"ICICIBANK","EQ","20-Jan-2020","        532.05","        533.00","        544.00","        531.00","        534.70","        534.85","        537.96","   19159996","         10307298211.10","     185612","    9049352","         47.23"
"ICICIBANK","EQ","21-Jan-2020","        534.85","        532.95","        540.25","        530.20","        531.15","        531.05","        535.15","   13477994","          7212782828.00","     158365","    6645657","         49.31"
"ICICIBANK","EQ","22-Jan-2020","        531.05","        531.50","        534.95","        520.75","        522.00","        522.85","        525.74","   17527408","          9214903821.00","     181749","    9114110","         52.00"
"ICICIBANK","EQ","23-Jan-2020","        522.85","        521.40","        530.25","        517.05","        527.75","        527.70","        525.09","   17061293","          8958657176.75","     168104","    8018360","         47.00"
"ICICIBANK","EQ","24-Jan-2020","        527.70","        529.25","        537.40","        527.00","        535.45","        533.85","        532.27","   17851868","          9502067459.30","     164870","    7653606","         42.87"
"ICICIBANK","EQ","27-Jan-2020","        533.85","        538.50","        545.00","        531.50","        535.90","        537.25","        540.45","   38149166","         20617752150.55","     345778","    9869942","         25.87"
"ICICIBANK","EQ","28-Jan-2020","        537.25","        538.10","        540.60","        524.45","        528.00","        528.20","        533.82","   24009224","         12816626274.20","     180957","    9108437","         37.94"
"ICICIBANK","EQ","29-Jan-2020","        528.20","        531.55","        534.80","        525.30","        526.90","        526.60","        530.21","   16400827","          8695856528.60","     137153","    7262058","         44.28"
"ICICIBANK","EQ","30-Jan-2020","        526.60","        527.65","        533.95","        524.15","        531.10","        532.20","        528.60","   14319317","          7569187867.20","     184707","    6818080","         47.61"
