"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","01-Jan-2020","        731.15","        735.00","        740.00","        732.55","        739.35","        736.85","        735.35","    2112415","          1553368748.80","      36769","     561646","         26.59"
"INFY","EQ","02-Jan-2020","        736.85","        738.90","        740.80","        730.90","        735.75","        734.70","        735.22","    5658200","          4160025335.75","     102483","    3413440","         60.33"
"INFY","EQ","03-Jan-2020","        734.70","        733.90","        748.00","        733.90","        745.00","        746.00","        744.67","    7882938","          5870173302.35","     105632","    3682521","         46.72"
"INFY","EQ","06-Jan-2020","        746.00","        746.10","        753.80","        736.50","        738.50","        738.85","        743.51","    6519403","          4847236982.15","     129992","    2871332","         44.04"
"INFY","EQ","07-Jan-2020","        738.85","        738.00","        742.60","        725.10","        729.30","        727.90","        734.63","    7899363","          5803119824.55","     189680","    3976564","         50.34"
"INFY","EQ","08-Jan-2020","        727.90","        724.95","        729.00","        708.30","        718.90","        718.20","        717.84","    8639443","          6201707522.40","     232857","    3579984","         41.44"
"INFY","EQ","09-Jan-2020","        718.20","        721.70","        731.50","        714.30","        727.60","        727.55","        724.60","   13521186","          9797455291.55","     161064","    7560512","         55.92"
"INFY","EQ","10-Jan-2020","        727.55","        740.45","        742.90","        730.50","        740.00","        738.15","        737.69","    9341405","          6891078451.30","     145267","    2641897","         28.28"
"INFY","EQ","13-Jan-2020","        738.15","        760.00","        777.50","        755.00","        772.50","        773.55","        769.14","   36952038","         28421129304.65","     753340","   12985958","         35.14"
"INFY","EQ","14-Jan-2020","        773.55","        769.95","        776.95","        767.20","        775.50","        775.65","        772.12","   11414418","          8813264899.15","     289583","    5736351","         50.26"
"INFY","EQ","15-Jan-2020","        775.65","        773.85","        773.85","        762.15","        766.30","        767.55","        766.99","    6047430","          4638298219.05","      96319","    2874200","         47.53"
"INFY","EQ","16-Jan-2020","        767.55","        770.70","        772.50","        760.25","        767.20","        767.00","        766.35","    5740586","          4399309408.85","      93520","    2546218","         44.35"
"INFY","EQ","17-Jan-2020","        767.00","        770.70","        772.90","        762.25","        767.45","        767.85","        766.35","    3762957","          2883743849.90","      98313","    1716214","         45.61"
"INFY","EQ","20-Jan-2020","        767.85","        771.60","        774.40","        762.95","        768.85","        768.45","        767.06","    3887680","          2982074923.85","      81096","    1987288","         51.12"
"INFY","EQ","21-Jan-2020","        768.45","        768.45","        770.50","        760.75","        761.15","        762.50","        764.09","    4448374","          3398977857.25","      83703","    2831904","         63.66"
"INFY","EQ","22-Jan-2020","        762.50","        768.45","        778.00","        766.00","        769.80","        770.20","        771.58","    9733935","          7510499147.55","     148501","    5309541","         54.55"
