"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","01-Jan-2020","        237.70","        238.60","        238.60","        237.10","        238.00","        238.10","        237.85","    4208837","          1001078168.45","      38576","    1848314","         43.92"
"ITC","EQ","02-Jan-2020","        238.10","        238.20","        240.95","        238.10","        240.30","        239.85","        239.71","    8402979","          2014240923.00","      84223","    5619818","         66.88"
"ITC","EQ","03-Jan-2020","        239.85","        241.00","        241.00","        238.00","        238.45","        238.50","        238.66","    9284478","          2215853102.35","      64049","    6344169","         68.33"
"ITC","EQ","06-Jan-2020","        238.50","        237.50","        238.30","        235.00","        235.30","        235.10","        236.15","    7636617","          1803374990.10","      72977","    4934625","         64.62"
"ITC","EQ","07-Jan-2020","        235.10","        236.05","        237.90","        234.60","        235.50","        235.35","        235.94","    8416741","          1985824895.85","      66747","    4781835","         56.81"
"ITC","EQ","08-Jan-2020","        235.35","        234.00","        235.80","        233.25","        234.40","        234.20","        234.46","    7043211","          1651373616.00","      66642","    3897623","         55.34"
"ITC","EQ","09-Jan-2020","        234.20","        235.60","        236.60","        235.05","        236.10","        235.80","        235.72","    9452653","          2228176873.85","     107069","    6378923","         67.48"
"ITC","EQ","10-Jan-2020","        235.80","        237.60","        238.75","        236.80","        238.10","        238.00","        237.86","    9973746","          2372397224.60","      89471","    7182804","         72.02"
"ITC","EQ","13-Jan-2020","        238.00","        238.50","        240.50","        238.25","        239.25","        239.25","        239.58","   12243639","          2933349672.30","      83515","    8262934","         67.49"
"ITC","EQ","14-Jan-2020","        239.25","        240.25","        243.80","        238.30","        243.10","        243.25","        241.86","   11843444","          2864487787.15","      89338","    7543081","         63.69"
"ITC","EQ","15-Jan-2020","        243.25","        242.55","        243.00","        241.10","        241.85","        242.40","        242.13","    5476729","          1326099721.25","      60662","    3216141","         58.72"
"ITC","EQ","16-Jan-2020","        242.40","        242.50","        243.90","        240.10","        240.45","        240.75","        241.88","    9369668","          2266360483.90","      85618","    5733970","         61.20"
"ITC","EQ","17-Jan-2020","        240.75","        240.75","        242.10","        239.40","        239.95","        239.95","        240.43","    7392403","          1777321066.90","      97633","    4578819","         61.94"
"ITC","EQ","20-Jan-2020","        239.95","        240.05","        243.25","        240.05","        242.30","        241.90","        241.96","    8020816","          1940753812.50","      70844","    4631818","         57.75"
"ITC","EQ","21-Jan-2020","        241.90","        241.45","        241.45","        238.00","        238.45","        238.45","        239.25","    9571070","          2289906472.60","      90383","    6175670","         64.52"
"ITC","EQ","22-Jan-2020","        238.45","        239.60","        239.60","        237.10","        238.30","        238.05","        238.27","    7654918","          1823901029.05","      83042","    4934815","         64.47"
"ITC","EQ","23-Jan-2020","        238.05","        238.10","        238.75","        236.90","        237.95","        237.90","        237.67","    6120434","          1454654742.20","      69953","    3537506","         57.80"
"ITC","EQ","24-Jan-2020","        237.90","        237.40","        239.10","        237.00","        238.25","        238.15","        238.21","    6801874","          1620247560.85","      66148","    3748753","         55.11"
"ITC","EQ","27-Jan-2020","        238.15","        237.00","        237.40","        234.30","        234.65","        234.60","        235.80","    6837613","          1612314627.90","      73157","    3974981","         58.13"
"ITC","EQ","28-Jan-2020","        234.60","        234.75","        235.90","        230.50","        231.00","        230.75","        232.39","   14582907","          3388953374.00","     134277","    9816226","         67.31"
"ITC","EQ","29-Jan-2020","        230.75","        231.50","        237.65","        231.15","        237.30","        236.65","        236.14","   20469708","          4833759395.70","     136048","   11399264","         55.69"
"ITC","EQ","30-Jan-2020","        236.65","        236.95","        237.00","        233.00","        233.70","        234.05","        234.92","   10394149","          2441843188.25","      75658","    6735834","         64.80"
"ITC","EQ","31-Jan-2020","        234.05","        235.75","        238.40","        234.05","        235.20","        235.15","        236.11","   18455880","          4357677128.90","     119578","    9809349","         53.15"
"ITC","EQ","01-Feb-2020","        235.15","        236.90","        239.25","        215.50","        219.25","        219.00","        226.82","   42268141","          9587357755.20","     307308","   16545806","         39.14"
"ITC","EQ","03-Feb-2020","        219.00","        215.00","        216.90","        205.00","        208.90","        207.60","        209.48","   79764370","         16708887974.20","     436227","   32873094","         41.21"
"ITC","EQ","04-Feb-2020","        207.60","        210.80","        217.60","        209.15","        215.95","        215.65","        213.76","   35767812","          7645555501.60","     182198","   18731113","         52.37"
"ITC","EQ","05-Feb-2020","        215.65","        216.30","        217.50","        211.50","        216.05","        216.45","        215.20","   21253607","          4573820829.00","     245783","    9831848","         46.26"
"ITC","EQ","06-Feb-2020","        216.45","        218.00","        219.90","        211.80","        213.40","        213.55","        215.72","   27388582","          5908200076.55","     221588","   16838636","         61.48"
"ITC","EQ","07-Feb-2020","        213.55","        213.80","        215.70","        212.75","        213.30","        213.40","        214.40","   17133407","          3673440145.25","     126285","   10930975","         63.80"
"ITC","EQ","10-Feb-2020","        213.40","        214.00","        214.05","        210.05","        210.50","        210.55","        211.41","    9617387","          2033241892.25","     212652","    5487153","         57.05"
"ITC","EQ","11-Feb-2020","        210.55","        216.50","        216.95","        211.80","        212.50","        212.60","        213.79","   29803784","          6371725435.00","     352348","   16641794","         55.84"
"ITC","EQ","12-Feb-2020","        212.60","        213.40","        214.80","        211.80","        212.95","        213.05","        213.35","    9928416","          2118220128.00","      91939","    4837515","         48.72"
"ITC","EQ","13-Feb-2020","        213.05","        213.05","        213.45","        211.20","        212.05","        211.90","        212.06","    9153131","          1941022169.40","     111421","    5580976","         60.97"
