"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","01-Jan-2020","       1684.35","       1689.00","       1696.75","       1672.00","       1673.15","       1674.05","       1679.00","    1475056","          2476624713.90","      43248","     671941","         45.55"
"KOTAKBANK","EQ","02-Jan-2020","       1674.05","       1680.00","       1683.50","       1664.65","       1671.50","       1671.55","       1669.98","    1852089","          3092952302.85","      56954","    1213158","         65.50"
"KOTAKBANK","EQ","03-Jan-2020","       1671.55","       1670.95","       1673.00","       1645.55","       1659.05","       1657.10","       1657.75","    1594089","          2642595822.75","      83688","     845118","         53.02"
"KOTAKBANK","EQ","06-Jan-2020","       1657.10","       1657.10","       1657.45","       1638.60","       1653.80","       1652.55","       1647.07","    1480087","          2437810663.90","      64555","     726237","         49.07"
"KOTAKBANK","EQ","07-Jan-2020","       1652.55","       1661.05","       1674.75","       1650.40","       1668.00","       1670.85","       1662.94","    2497931","          4153901190.60","      62054","    1276556","         51.10"
"KOTAKBANK","EQ","08-Jan-2020","       1670.85","       1654.70","       1661.45","       1638.00","       1651.65","       1654.85","       1650.47","    3125931","          5159240766.45","     108277","    1366696","         43.72"
"KOTAKBANK","EQ","09-Jan-2020","       1654.85","       1673.50","       1673.75","       1658.70","       1665.10","       1665.05","       1664.49","    2668424","          4441566349.90","      64081","    1798270","         67.39"
"KOTAKBANK","EQ","10-Jan-2020","       1665.05","       1674.10","       1692.00","       1671.20","       1686.00","       1684.70","       1683.04","    2536083","          4268318493.40","      97398","    1225120","         48.31"
"KOTAKBANK","EQ","13-Jan-2020","       1684.70","       1692.00","       1704.50","       1685.55","       1690.20","       1691.10","       1692.29","    1807958","          3059595263.00","      48374","     953751","         52.75"
"KOTAKBANK","EQ","14-Jan-2020","       1691.10","       1696.00","       1696.10","       1671.00","       1678.80","       1676.80","       1676.80","    2136892","          3583143591.40","      79735","    1519525","         71.11"
"KOTAKBANK","EQ","15-Jan-2020","       1676.80","       1675.95","       1686.60","       1665.90","       1681.60","       1675.60","       1675.83","    2490245","          4173233968.20","      53526","    1704202","         68.44"
"KOTAKBANK","EQ","16-Jan-2020","       1675.60","       1678.90","       1705.60","       1678.90","       1703.05","       1701.55","       1693.44","    3321282","          5624404547.55","      94314","    1625315","         48.94"
"KOTAKBANK","EQ","17-Jan-2020","       1701.55","       1703.90","       1705.85","       1690.10","       1699.00","       1698.10","       1699.33","    2295875","          3901453391.40","      93648","    1347057","         58.67"
"KOTAKBANK","EQ","20-Jan-2020","       1698.10","       1709.00","       1709.00","       1611.00","       1617.00","       1617.90","       1645.01","    8004034","         13166740916.80","     228321","    2594865","         32.42"
"KOTAKBANK","EQ","21-Jan-2020","       1617.90","       1605.00","       1630.60","       1585.20","       1627.35","       1625.10","       1608.02","    5745469","          9238854221.60","     185564","    1823235","         31.73"
"KOTAKBANK","EQ","22-Jan-2020","       1625.10","       1633.20","       1637.90","       1576.00","       1591.00","       1585.50","       1593.45","    5479162","          8730746484.85","     154814","    2895931","         52.85"
"KOTAKBANK","EQ","23-Jan-2020","       1585.50","       1588.00","       1608.40","       1581.30","       1606.90","       1605.85","       1597.13","    3495683","          5583048607.40","      96078","    1747356","         49.99"
"KOTAKBANK","EQ","24-Jan-2020","       1605.85","       1605.45","       1649.00","       1587.00","       1638.05","       1642.95","       1623.03","    4252937","          6902627963.15","     157612","    2356586","         55.41"
"KOTAKBANK","EQ","27-Jan-2020","       1642.95","       1628.70","       1629.00","       1608.40","       1617.00","       1618.35","       1617.80","    1874429","          3032456402.20","      58316","     496047","         26.46"
"KOTAKBANK","EQ","28-Jan-2020","       1618.35","       1620.00","       1638.00","       1610.25","       1624.00","       1626.05","       1627.45","    1981104","          3224152585.10","      86400","     745664","         37.64"
"KOTAKBANK","EQ","29-Jan-2020","       1626.05","       1633.00","       1646.20","       1623.05","       1639.55","       1640.45","       1637.68","    2227493","          3647920414.25","      62207","    1267330","         56.89"
"KOTAKBANK","EQ","30-Jan-2020","       1640.45","       1637.80","       1640.30","       1617.50","       1627.95","       1628.25","       1628.36","    1590156","          2589341070.55","      63063","     709452","         44.62"
"KOTAKBANK","EQ","31-Jan-2020","       1628.25","       1709.65","       1729.00","       1683.15","       1688.65","       1691.75","       1698.55","    9495046","         16127835181.15","     253091","    2929394","         30.85"
"KOTAKBANK","EQ","01-Feb-2020","       1691.75","       1684.00","       1689.45","       1630.05","       1655.00","       1647.95","       1665.68","    2263314","          3769955650.70","      73751","     597932","         26.42"
"KOTAKBANK","EQ","03-Feb-2020","       1647.95","       1645.60","       1680.80","       1634.00","       1676.30","       1676.25","       1661.90","    2510294","          4171853853.10","     112048","    1186818","         47.28"
"KOTAKBANK","EQ","04-Feb-2020","       1676.25","       1684.05","       1702.80","       1670.15","       1699.00","       1698.30","       1690.91","    2070417","          3500891406.95","      93785","    1060698","         51.23"
"KOTAKBANK","EQ","05-Feb-2020","       1698.30","       1702.00","       1707.45","       1677.10","       1693.50","       1689.75","       1689.30","    2096512","          3541648159.80","      97390","     824176","         39.31"
"KOTAKBANK","EQ","06-Feb-2020","       1689.75","       1693.90","       1697.90","       1668.00","       1675.75","       1674.00","       1679.42","    2532618","          4253317230.15","     125534","    1331171","         52.56"
"KOTAKBANK","EQ","07-Feb-2020","       1674.00","       1675.75","       1677.95","       1644.00","       1654.95","       1653.05","       1653.82","    2290151","          3787494985.60","      99398","    1397345","         61.02"
"KOTAKBANK","EQ","10-Feb-2020","       1653.05","       1660.00","       1674.60","       1645.70","       1673.00","       1669.30","       1657.60","    1355124","          2246253700.65","      62012","     695218","         51.30"
"KOTAKBANK","EQ","11-Feb-2020","       1669.30","       1682.45","       1685.80","       1666.55","       1679.45","       1677.45","       1677.75","    1914766","          3212493676.95","     109723","    1090263","         56.94"
"KOTAKBANK","EQ","12-Feb-2020","       1677.45","       1680.10","       1720.00","       1675.00","       1713.50","       1714.90","       1709.76","    3010537","          5147307043.25","      74600","    1362130","         45.25"
"KOTAKBANK","EQ","13-Feb-2020","       1714.90","       1714.70","       1714.70","       1682.30","       1689.55","       1689.80","       1690.99","    2246920","          3799527517.75","      77476","    1348236","         60.00"
"KOTAKBANK","EQ","14-Feb-2020","       1689.80","       1696.00","       1703.00","       1663.60","       1682.50","       1680.95","       1680.66","    1892157","          3180068349.85","      80400","    1023074","         54.07"
"KOTAKBANK","EQ","17-Feb-2020","       1680.95","       1685.00","       1699.20","       1672.25","       1693.85","       1691.10","       1691.07","    1812765","          3065520624.65","      64474","    1043736","         57.58"
"KOTAKBANK","EQ","18-Feb-2020","       1691.10","       1682.50","       1699.80","       1678.30","       1692.95","       1691.00","       1689.09","    2219039","          3748147638.00","     106786","    1270551","         57.26"
"KOTAKBANK","EQ","19-Feb-2020","       1691.00","       1740.00","       1740.00","       1695.40","       1699.60","       1701.10","       1709.74","    3168534","          5417376387.00","      99948","    1196844","         37.77"
"KOTAKBANK","EQ","20-Feb-2020","       1701.10","       1697.30","       1699.25","       1676.20","       1685.00","       1685.95","       1687.97","    2099903","          3544567939.95","      86420","    1076016","         51.24"
"KOTAKBANK","EQ","24-Feb-2020","       1685.95","       1672.00","       1683.75","       1662.30","       1679.40","       1678.25","       1674.37","    1926133","          3225058923.55","     102079","    1084749","         56.32"
"KOTAKBANK","EQ","25-Feb-2020","       1678.25","       1676.20","       1689.70","       1668.35","       1678.50","       1675.80","       1677.45","    1535555","          2575809428.45","      66430","     737449","         48.02"
"KOTAKBANK","EQ","26-Feb-2020","       1675.80","       1670.10","       1677.70","       1657.00","       1673.80","       1666.50","       1666.52","    2585895","          4309441648.50","     102345","    1583380","         61.23"
"KOTAKBANK","EQ","27-Feb-2020","       1666.50","       1666.00","       1688.90","       1660.60","       1678.50","       1682.75","       1672.05","    2689352","          4496725494.30","     106427","    1194024","         44.40"
"KOTAKBANK","EQ","28-Feb-2020","       1682.75","       1654.90","       1660.10","       1613.75","       1619.95","       1620.35","       1635.92","    3743312","          6123770817.35","     155883","    2211540","         59.08"
"KOTAKBANK","EQ","02-Mar-2020","       1620.35","       1631.00","       1637.30","       1584.20","       1600.00","       1599.00","       1607.89","    4762847","          7658118294.40","     142088","    2442960","         51.29"
"KOTAKBANK","EQ","03-Mar-2020","       1599.00","       1603.80","       1636.35","       1587.00","       1633.10","       1626.30","       1604.86","    2918386","          4683592418.05","      99649","    1415641","         48.51"
"KOTAKBANK","EQ","04-Mar-2020","       1626.30","       1632.20","       1633.10","       1577.60","       1609.15","       1607.95","       1606.25","    2530221","          4064170315.60","      71265","    1349885","         53.35"
"KOTAKBANK","EQ","05-Mar-2020","       1607.95","       1615.00","       1676.50","       1608.00","       1650.55","       1651.35","       1650.40","    5060962","          8352606240.55","     104590","    2711885","         53.58"
"KOTAKBANK","EQ","06-Mar-2020","       1651.35","       1605.20","       1644.00","       1598.20","       1634.05","       1631.05","       1622.21","    3542243","          5746252744.85","      99088","    1488032","         42.01"
"KOTAKBANK","EQ","09-Mar-2020","       1631.05","       1595.00","       1609.95","       1542.60","       1586.70","       1578.15","       1572.99","    5535703","          8707608994.40","     155125","    2766563","         49.98"
"KOTAKBANK","EQ","11-Mar-2020","       1578.15","       1575.95","       1604.90","       1542.50","       1590.20","       1589.30","       1574.03","    4714213","          7420295866.70","     131798","    2642285","         56.05"
"KOTAKBANK","EQ","12-Mar-2020","       1589.30","       1509.90","       1546.45","       1350.95","       1468.00","       1465.05","       1481.20","    7807923","         11565130889.00","     293267","    4172845","         53.44"
