"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","01-Jan-2020","        531.55","        532.90","        538.00","        529.55","        536.95","        536.60","        533.95","    2611808","          1394581611.85","      27497","     332332","         12.72"
"M&amp;M","EQ","02-Jan-2020","        536.60","        537.00","        541.00","        533.50","        539.00","        539.85","        538.71","    2776519","          1495729732.40","      43016","     738407","         26.59"
"M&amp;M","EQ","03-Jan-2020","        539.85","        538.95","        539.00","        530.40","        533.00","        532.75","        533.82","    1930883","          1030741073.55","      30030","     698561","         36.18"
"M&amp;M","EQ","06-Jan-2020","        532.75","        529.90","        530.00","        520.50","        523.55","        524.50","        523.29","    2059404","          1077675301.65","      34854","     931642","         45.24"
"M&amp;M","EQ","07-Jan-2020","        524.50","        528.90","        532.00","        523.05","        526.65","        526.65","        527.55","    2111349","          1113850539.50","      34387","     471935","         22.35"
"M&amp;M","EQ","08-Jan-2020","        526.65","        520.90","        526.45","        519.00","        524.50","        524.65","        522.73","    1612378","           842836736.95","      33088","     509565","         31.60"
"M&amp;M","EQ","09-Jan-2020","        524.65","        529.85","        542.45","        525.70","        541.50","        541.25","        537.33","    2897598","          1556967656.60","      45977","     871775","         30.09"
"M&amp;M","EQ","10-Jan-2020","        541.25","        544.10","        547.60","        539.25","        546.30","        546.60","        544.42","    2355888","          1282586763.50","      35902","     716916","         30.43"
"M&amp;M","EQ","13-Jan-2020","        546.60","        548.90","        557.00","        546.60","        556.00","        554.95","        552.89","    3442869","          1903531788.05","      51510","    1437318","         41.75"
"M&amp;M","EQ","14-Jan-2020","        554.95","        554.95","        563.75","        554.95","        562.40","        562.50","        559.84","    2793249","          1563759812.00","      50589","    1332489","         47.70"
"M&amp;M","EQ","15-Jan-2020","        562.50","        562.00","        571.00","        556.70","        569.30","        569.75","        565.24","    2564513","          1449561957.65","      42204","    1234020","         48.12"
"M&amp;M","EQ","16-Jan-2020","        569.75","        569.25","        569.80","        564.05","        566.60","        567.45","        567.11","    2243200","          1272145839.45","      29664","    1134731","         50.59"
"M&amp;M","EQ","17-Jan-2020","        567.45","        566.80","        574.00","        565.15","        568.50","        569.30","        570.16","    2646260","          1508798009.10","      42403","    1078475","         40.75"
"M&amp;M","EQ","20-Jan-2020","        569.30","        569.00","        574.00","        564.35","        567.30","        567.20","        569.44","    1847978","          1052309164.65","      25034","     553170","         29.93"
"M&amp;M","EQ","21-Jan-2020","        567.20","        564.00","        564.90","        550.10","        550.95","        552.80","        555.36","    3101684","          1722553393.60","      46464","    1102829","         35.56"
"M&amp;M","EQ","22-Jan-2020","        552.80","        553.50","        556.50","        549.00","        553.65","        553.60","        553.51","    1862669","          1031005939.95","      29578","     265930","         14.28"
