"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NTPC","EQ","01-Jan-2020","        119.05","        119.05","        122.00","        118.25","        121.50","        121.55","        120.67","    9953746","          1201143313.20","      45323","    4352709","         43.73"
"NTPC","N4","01-Jan-2020","       1125.00","       1124.99","       1124.99","       1123.99","       1123.99","       1123.99","       1124.66","        150","              168698.50","          3","        150","        100.00"
"NTPC","N5","01-Jan-2020","       1308.00","       1310.00","       1315.00","       1310.00","       1315.00","       1315.00","       1313.31","         80","              105064.75","          6","         55","         68.75"
"NTPC","N6","01-Jan-2020","       1341.90","       1340.00","       1340.00","       1333.80","       1334.00","       1333.92","       1337.62","        115","              153826.80","          3","        115","        100.00"
"NTPC","N7","01-Jan-2020","         13.72","         13.70","         13.80","         13.70","         13.73","         13.73","         13.73","      27737","              380943.40","         53","      26023","         93.82"
"NTPC","NC","01-Jan-2020","       1129.59","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","          1","                1150.00","          1","          1","        100.00"
"NTPC","ND","01-Jan-2020","       1200.00","       1226.99","       1226.99","       1196.00","       1196.00","       1196.00","       1211.50","          2","                2422.99","          2","          1","         50.00"
"NTPC","EQ","02-Jan-2020","        121.55","        121.50","        122.15","        120.60","        121.00","        121.40","        121.54","    8731299","          1061194969.10","      46881","    5298030","         60.68"
"NTPC","N4","02-Jan-2020","       1123.99","       1124.99","       1124.99","       1124.99","       1124.99","       1124.99","       1124.99","         65","               73124.35","          4","         65","        100.00"
"NTPC","N6","02-Jan-2020","       1333.92","       1349.99","       1349.99","       1335.00","       1340.00","       1340.00","       1343.31","        507","              681060.49","         17","        355","         70.02"
"NTPC","N7","02-Jan-2020","         13.73","         13.72","         13.79","         13.72","         13.73","         13.73","         13.73","      38852","              533629.86","        422","      38850","         99.99"
"NTPC","ND","02-Jan-2020","       1196.00","       1198.10","       1198.10","       1198.00","       1198.00","       1198.00","       1198.00","         55","               65890.10","          2","         55","        100.00"
"NTPC","EQ","03-Jan-2020","        121.40","        121.00","        121.35","        119.10","        119.25","        119.35","        120.14","    7392962","           888159437.65","      41213","    4745388","         64.19"
"NTPC","N4","03-Jan-2020","       1124.99","       1130.00","       1130.00","       1120.00","       1120.00","       1120.00","       1124.45","        193","              217019.50","          9","        193","        100.00"
"NTPC","N6","03-Jan-2020","       1340.00","       1335.00","       1335.00","       1325.04","       1326.58","       1326.58","       1326.06","        213","              282451.41","         11","        117","         54.93"
