"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","01-Jan-2020","        333.75","        334.70","        335.95","        332.15","        335.00","        334.45","        334.03","   17379320","          5805129513.65","      99108","    1850790","         10.65"
"SBIN","N2","01-Jan-2020","      11252.76","      11329.99","      11329.99","      11151.00","      11151.00","      11212.46","      11215.26","         42","              471041.04","         24","         42","        100.00"
"SBIN","N5","01-Jan-2020","      11429.66","      11430.00","      11441.00","      11420.00","      11427.00","      11425.63","      11428.32","        598","             6834133.93","         98","        549","         91.81"
"SBIN","N6","01-Jan-2020","      11204.33","      11177.50","      11177.50","      11150.00","      11150.00","      11160.63","      11166.74","         35","              390835.75","         10","         35","        100.00"
"SBIN","EQ","02-Jan-2020","        334.45","        334.50","        339.85","        333.35","        338.80","        339.30","        336.81","   20324236","          6845341476.35","     123189","    4239894","         20.86"
"SBIN","N2","02-Jan-2020","      11212.46","      11250.00","      11250.00","      11161.00","      11161.00","      11164.73","      11193.71","         61","              682816.09","         14","         61","        100.00"
"SBIN","N5","02-Jan-2020","      11425.63","      11430.00","      11435.00","      11360.10","      11370.00","      11369.51","      11383.64","        999","            11372259.53","        184","        983","         98.40"
"SBIN","N6","02-Jan-2020","      11160.63","      11250.00","      11250.00","      11125.00","      11125.00","      11125.00","      11187.50","          2","               22375.00","          2","          0","          0.00"
"SBIN","EQ","03-Jan-2020","        339.30","        337.95","        337.95","        332.00","        334.00","        333.70","        335.08","   21853208","          7322600454.00","     139793","    6309081","         28.87"
"SBIN","N2","03-Jan-2020","      11164.73","      11239.82","      11239.82","      11155.00","      11155.00","      11156.73","      11176.52","         42","              469413.70","         10","         42","        100.00"
"SBIN","N5","03-Jan-2020","      11369.51","      11371.00","      11380.00","      11340.00","      11340.00","      11355.00","      11361.83","        682","             7748764.65","        129","        623","         91.35"
"SBIN","EQ","06-Jan-2020","        333.70","        331.70","        331.70","        317.70","        318.40","        319.00","        322.03","   35645325","         11478824411.65","     280646","    8731362","         24.50"
"SBIN","N2","06-Jan-2020","      11156.73","      11220.00","      11220.00","      11140.00","      11140.00","      11140.00","      11159.85","        264","             2946200.70","         20","        264","        100.00"
"SBIN","N5","06-Jan-2020","      11355.00","      11370.00","      11370.00","      11335.00","      11361.00","      11353.03","      11347.21","        640","             7262216.85","        133","        636","         99.38"
"SBIN","N6","06-Jan-2020","      11125.00","      11130.05","      11130.05","      11100.01","      11106.00","      11106.00","      11117.77","         62","              689302.04","         13","         60","         96.77"
"SBIN","EQ","07-Jan-2020","        319.00","        324.45","        327.00","        315.40","        317.90","        318.40","        320.38","   50966826","         16328677246.35","     310782","    9993754","         19.61"
"SBIN","N2","07-Jan-2020","      11140.00","      11170.00","      11170.00","      11100.00","      11100.00","      11106.87","      11127.40","        243","             2703957.48","         51","        223","         91.77"
"SBIN","N5","07-Jan-2020","      11353.03","      11380.00","      11380.01","      11350.00","      11351.00","      11351.22","      11356.55","        569","             6461876.15","        104","        532","         93.50"
"SBIN","N6","07-Jan-2020","      11106.00","      11106.00","      11110.00","      11095.00","      11095.00","      11095.88","      11101.31","         40","              444052.36","         12","         38","         95.00"
"SBIN","EQ","08-Jan-2020","        318.40","        312.10","        321.50","        311.00","        319.35","        319.80","        315.88","   44527485","         14065253336.55","     259968","    5957208","         13.38"
"SBIN","N2","08-Jan-2020","      11106.87","      11150.00","      11179.99","      11101.00","      11174.00","      11174.00","      11129.89","         75","              834741.90","         11","         54","         72.00"
"SBIN","N5","08-Jan-2020","      11351.22","      11300.00","      11399.00","      11300.00","      11350.00","      11356.94","      11361.65","        273","             3101730.93","         45","        270","         98.90"
"SBIN","EQ","09-Jan-2020","        319.80","        326.90","        331.40","        325.00","        330.10","        330.20","        328.58","   40348407","         13257619714.90","     255624","   10231744","         25.36"
"SBIN","N2","09-Jan-2020","      11174.00","      11110.00","      11150.00","      11110.00","      11110.06","      11122.24","      11133.68","        109","             1213570.60","         14","        109","        100.00"
"SBIN","N5","09-Jan-2020","      11356.94","      11353.00","      11375.00","      11350.10","      11357.00","      11365.92","      11363.04","        366","             4158873.60","         80","        344","         93.99"
"SBIN","N6","09-Jan-2020","      11095.88","      11060.00","      11060.00","      11055.00","      11055.00","      11055.00","      11059.96","        112","             1238715.00","         11","        112","        100.00"
"SBIN","EQ","10-Jan-2020","        330.20","        331.00","        337.95","        328.10","        332.45","        332.25","        333.63","   42377838","         14138619576.70","     247022","    6229098","         14.70"
"SBIN","N2","10-Jan-2020","      11122.24","      11180.00","      11180.00","      11130.00","      11130.00","      11136.52","      11140.45","         94","             1047202.45","         14","         94","        100.00"
"SBIN","N5","10-Jan-2020","      11365.92","      11360.00","      11384.00","      11342.00","      11355.25","      11355.14","      11354.49","        643","             7300934.66","        162","        582","         90.51"
"SBIN","N6","10-Jan-2020","      11055.00","      11144.00","      11144.00","      11144.00","      11144.00","      11144.00","      11144.00","          5","               55720.00","          2","          5","        100.00"
"SBIN","EQ","13-Jan-2020","        332.25","        334.00","        335.45","        329.05","        330.60","        330.75","        331.73","   23615129","          7833850624.65","     156310","    4383811","         18.56"
"SBIN","N2","13-Jan-2020","      11136.52","      11297.50","      11299.99","      11118.06","      11118.06","      11118.06","      11199.40","        134","             1500719.27","         22","        110","         82.09"
"SBIN","N5","13-Jan-2020","      11355.14","      11356.00","      11356.00","      11345.00","      11347.00","      11348.06","      11348.61","        927","            10520165.00","        143","        883","         95.25"
"SBIN","N6","13-Jan-2020","      11144.00","      11150.00","      11150.00","      11070.00","      11070.00","      11072.79","      11086.45","         25","              277161.35","          9","         25","        100.00"
"SBIN","EQ","14-Jan-2020","        330.75","        329.80","        331.70","        326.50","        328.10","        328.00","        328.53","   26296117","          8639035468.10","     170473","    7985361","         30.37"
"SBIN","N2","14-Jan-2020","      11118.06","      11249.45","      11249.45","      11111.12","      11111.12","      11111.12","      11144.74","         42","              468079.08","          9","         36","         85.71"
"SBIN","N5","14-Jan-2020","      11348.06","      11350.00","      11351.00","      11335.00","      11339.00","      11340.30","      11343.52","        549","             6227592.71","         97","        513","         93.44"
"SBIN","N6","14-Jan-2020","      11072.79","      11150.00","      11150.00","      11051.00","      11051.00","      11051.00","      11098.50","          4","               44394.00","          3","          4","        100.00"
"SBIN","EQ","15-Jan-2020","        328.00","        329.00","        329.20","        322.35","        324.00","        324.25","        324.30","   32625740","         10580537562.75","     243663","   13009985","         39.88"
"SBIN","N2","15-Jan-2020","      11111.12","      11110.00","      11140.00","      11110.00","      11120.05","      11133.19","      11126.15","         27","              300406.08","         17","         24","         88.89"
"SBIN","N5","15-Jan-2020","      11340.30","      11340.30","      11342.00","      11330.00","      11333.00","      11338.14","      11335.59","        263","             2981260.20","         66","        263","        100.00"
"SBIN","N6","15-Jan-2020","      11051.00","      11150.00","      11150.00","      11053.00","      11053.00","      11056.58","      11091.81","         60","              665508.50","         14","         60","        100.00"
"SBIN","EQ","16-Jan-2020","        324.25","        324.00","        326.90","        322.35","        323.10","        323.30","        324.48","   26653623","          8648658406.60","     182806","    7131955","         26.76"
