"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHREECEM","EQ","01-Jan-2020","      20363.95","      20375.00","      20489.00","      20287.05","      20310.50","      20319.90","      20378.73","       4879","            99427830.65","       1595","       1281","         26.26"
"SHREECEM","EQ","02-Jan-2020","      20319.90","      20320.00","      21279.90","      20320.00","      21249.50","      21232.15","      21006.81","      31788","           667764588.20","       9022","      11311","         35.58"
"SHREECEM","EQ","03-Jan-2020","      21232.15","      21200.00","      21398.95","      20950.00","      21240.25","      21122.25","      21151.13","      19053","           402992402.15","       5781","       7114","         37.34"
"SHREECEM","EQ","06-Jan-2020","      21122.25","      21124.80","      21219.95","      20591.40","      20870.00","      21064.40","      20872.85","      25717","           536786960.75","       7823","      12852","         49.97"
"SHREECEM","EQ","07-Jan-2020","      21064.40","      21097.15","      22050.00","      20951.00","      22005.15","      21963.15","      21699.31","      83884","          1820224998.85","      18173","      48419","         57.72"
"SHREECEM","EQ","08-Jan-2020","      21963.15","      21849.00","      22691.65","      21710.30","      22400.05","      22441.30","      22440.81","      68506","          1537329788.25","      21132","      27599","         40.29"
"SHREECEM","EQ","09-Jan-2020","      22441.30","      22521.80","      22959.85","      22327.25","      22898.00","      22814.55","      22628.74","      40252","           910851967.50","      14362","      16332","         40.57"
"SHREECEM","EQ","10-Jan-2020","      22814.55","      22866.50","      23409.50","      22723.65","      23322.25","      23345.40","      23207.47","      41458","           962135396.90","      14521","      14771","         35.63"
"SHREECEM","EQ","13-Jan-2020","      23345.40","      23270.00","      24263.05","      23227.05","      23611.05","      23829.20","      23663.20","      55253","          1307462694.65","      12886","      26966","         48.80"
"SHREECEM","EQ","14-Jan-2020","      23829.20","      23670.00","      23820.20","      23424.75","      23620.00","      23560.00","      23570.16","      22816","           537776730.15","       9281","      10237","         44.87"
"SHREECEM","EQ","15-Jan-2020","      23560.00","      23670.00","      23800.00","      23351.50","      23790.00","      23728.55","      23586.78","      24055","           567379917.45","      10222","      10342","         42.99"
"SHREECEM","EQ","16-Jan-2020","      23728.55","      23750.00","      24100.00","      23065.65","      23330.00","      23290.85","      23330.15","      59132","          1379558359.95","      16656","      29053","         49.13"
"SHREECEM","EQ","17-Jan-2020","      23290.85","      23335.00","      23646.40","      23205.00","      23286.00","      23325.90","      23413.00","      32537","           761788786.55","       7016","      14644","         45.01"
"SHREECEM","EQ","20-Jan-2020","      23325.90","      23333.20","      23508.80","      23039.95","      23283.90","      23133.10","      23201.27","      26423","           613047084.10","       6483","      15983","         60.49"
"SHREECEM","EQ","21-Jan-2020","      23133.10","      23160.10","      23398.70","      22831.55","      22901.15","      22953.50","      23040.46","      29652","           683195707.30","       6831","      17519","         59.08"
"SHREECEM","EQ","22-Jan-2020","      22953.50","      22960.00","      23299.95","      22887.00","      22891.50","      23016.70","      23105.83","      28102","           649319956.85","       4761","      12479","         44.41"
"SHREECEM","EQ","23-Jan-2020","      23016.70","      23016.70","      23200.00","      22911.10","      23100.00","      23079.05","      23091.56","      15181","           350552904.00","       3303","       9191","         60.54"
"SHREECEM","EQ","24-Jan-2020","      23079.05","      23011.10","      23302.00","      22870.00","      23180.00","      23134.65","      23077.54","      31218","           720434796.70","       6313","      18541","         59.39"
"SHREECEM","EQ","27-Jan-2020","      23134.65","      23099.90","      23766.00","      22960.15","      23444.00","      23598.45","      23538.71","      35307","           831081393.75","       8596","      13022","         36.88"
"SHREECEM","EQ","28-Jan-2020","      23598.45","      23560.00","      23990.00","      23363.05","      23539.10","      23442.00","      23509.31","      13422","           315541912.40","       4608","       6492","         48.37"
"SHREECEM","EQ","29-Jan-2020","      23442.00","      23539.10","      23780.00","      23206.10","      23240.65","      23506.20","      23545.15","      13788","           324640471.00","       6430","       7264","         52.68"
