"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","01-Jan-2020","       1187.95","       1194.45","       1199.00","       1152.20","       1155.10","       1154.75","       1168.61","    3137636","          3666682305.25","      91203","     985291","         31.40"
"TITAN","EQ","02-Jan-2020","       1154.75","       1157.00","       1159.90","       1140.00","       1156.00","       1155.60","       1150.75","    3286436","          3781880496.30","     120035","     847441","         25.79"
"TITAN","EQ","03-Jan-2020","       1155.60","       1156.00","       1156.00","       1132.00","       1139.70","       1139.70","       1142.40","    2695237","          3079026580.60","     105909","    1017731","         37.76"
"TITAN","EQ","06-Jan-2020","       1139.70","       1162.00","       1171.40","       1150.10","       1157.00","       1158.60","       1159.86","    4494752","          5213281950.65","     175806","    1115391","         24.82"
"TITAN","EQ","07-Jan-2020","       1158.60","       1170.95","       1173.85","       1152.05","       1159.35","       1159.95","       1159.63","    2363578","          2740886242.30","      92867","     841123","         35.59"
"TITAN","EQ","08-Jan-2020","       1159.95","       1145.00","       1156.30","       1138.00","       1143.10","       1143.30","       1143.92","    2370166","          2711283549.55","      78303","    1058645","         44.67"
"TITAN","EQ","09-Jan-2020","       1143.30","       1155.00","       1168.00","       1148.50","       1163.50","       1163.45","       1159.02","    1764131","          2044669068.90","      75574","     648276","         36.75"
"TITAN","EQ","10-Jan-2020","       1163.45","       1167.00","       1170.70","       1150.75","       1153.90","       1154.05","       1158.59","    1517311","          1757948814.00","      61571","     737793","         48.63"
"TITAN","EQ","13-Jan-2020","       1154.05","       1155.00","       1162.45","       1148.50","       1160.00","       1158.95","       1156.43","    1135936","          1313632311.80","      65561","     398638","         35.09"
"TITAN","EQ","14-Jan-2020","       1158.95","       1162.00","       1168.65","       1157.15","       1167.10","       1167.10","       1163.52","    1324743","          1541366361.65","      54792","     646068","         48.77"
"TITAN","EQ","15-Jan-2020","       1167.10","       1173.50","       1191.50","       1170.60","       1182.60","       1184.85","       1182.19","    2665214","          3150799865.10","      84788","     726899","         27.27"
"TITAN","EQ","16-Jan-2020","       1184.85","       1184.85","       1195.50","       1174.10","       1192.25","       1192.90","       1184.75","    1644541","          1948377091.90","      65751","     688227","         41.85"
"TITAN","EQ","17-Jan-2020","       1192.90","       1194.80","       1196.85","       1184.00","       1186.20","       1188.75","       1189.96","    1034774","          1231339247.50","      54577","     353715","         34.18"
"TITAN","EQ","20-Jan-2020","       1188.75","       1190.00","       1195.00","       1179.10","       1186.75","       1187.85","       1188.71","    1139858","          1354962762.30","      69133","     376652","         33.04"
"TITAN","EQ","21-Jan-2020","       1187.85","       1183.45","       1183.90","       1161.00","       1179.15","       1176.20","       1173.88","     925998","          1087014555.80","      54553","     294599","         31.81"
"TITAN","EQ","22-Jan-2020","       1176.20","       1181.80","       1185.95","       1172.00","       1178.00","       1177.65","       1177.76","     902471","          1062898487.25","      47890","     311189","         34.48"
"TITAN","EQ","23-Jan-2020","       1177.65","       1176.00","       1206.65","       1175.00","       1203.00","       1204.10","       1196.89","    2101116","          2514810349.05","      69730","     656557","         31.25"
"TITAN","EQ","24-Jan-2020","       1204.10","       1208.90","       1230.00","       1206.05","       1228.45","       1227.85","       1219.58","    2841654","          3465628535.70","      83003","    1064376","         37.46"
"TITAN","EQ","27-Jan-2020","       1227.85","       1228.00","       1240.35","       1208.85","       1210.00","       1213.80","       1224.94","    2332864","          2857610176.45","      85733","     761365","         32.64"
"TITAN","EQ","28-Jan-2020","       1213.80","       1215.00","       1223.50","       1188.30","       1198.50","       1195.00","       1208.46","    1703068","          2058085600.00","      72839","     630543","         37.02"
"TITAN","EQ","29-Jan-2020","       1195.00","       1198.50","       1207.90","       1181.60","       1185.00","       1186.20","       1192.08","    1380266","          1645388607.95","      70904","     480494","         34.81"
"TITAN","EQ","30-Jan-2020","       1186.20","       1191.00","       1191.50","       1176.20","       1182.00","       1179.25","       1181.36","    1859283","          2196484497.85","      87927","     995097","         53.52"
"TITAN","EQ","31-Jan-2020","       1179.25","       1185.50","       1194.80","       1180.00","       1189.55","       1187.75","       1188.22","    1809101","          2149603271.85","      93386","     929688","         51.39"
"TITAN","EQ","01-Feb-2020","       1187.75","       1186.85","       1218.00","       1165.60","       1173.25","       1173.25","       1184.35","    1557085","          1844127081.80","      52907","     517869","         33.26"
"TITAN","EQ","03-Feb-2020","       1173.25","       1170.00","       1192.30","       1162.55","       1184.00","       1186.40","       1176.13","    3595537","          4228807178.90","     107255","    2511104","         69.84"
"TITAN","EQ","04-Feb-2020","       1186.40","       1195.00","       1287.80","       1185.00","       1273.00","       1275.80","       1245.90","    7875930","          9812610022.05","     212243","    1826803","         23.19"
"TITAN","EQ","05-Feb-2020","       1275.80","       1284.75","       1297.70","       1255.00","       1276.75","       1279.85","       1278.35","    5459816","          6979574229.10","     239396","    1835557","         33.62"
"TITAN","EQ","06-Feb-2020","       1279.85","       1284.95","       1294.20","       1252.05","       1259.30","       1259.30","       1266.66","    2463971","          3121003493.15","      96125","    1006872","         40.86"
"TITAN","EQ","07-Feb-2020","       1259.30","       1264.05","       1279.50","       1258.40","       1271.85","       1275.00","       1271.49","    2277867","          2896287369.00","     102527","     796028","         34.95"
"TITAN","EQ","10-Feb-2020","       1275.00","       1270.90","       1275.00","       1253.35","       1257.20","       1257.20","       1258.62","    1021943","          1286236082.30","      80696","     406359","         39.76"
"TITAN","EQ","11-Feb-2020","       1257.20","       1263.00","       1278.90","       1258.55","       1269.80","       1270.70","       1271.20","    1351413","          1717917647.25","      68623","     490717","         36.31"
"TITAN","EQ","12-Feb-2020","       1270.70","       1276.95","       1288.95","       1265.85","       1268.10","       1269.00","       1271.57","    1195516","          1520188244.80","      47039","     494690","         41.38"
"TITAN","EQ","13-Feb-2020","       1269.00","       1270.00","       1308.00","       1270.00","       1297.55","       1298.10","       1297.81","    4458645","          5786480653.30","     102681","    1399446","         31.39"
"TITAN","EQ","14-Feb-2020","       1298.10","       1306.95","       1310.70","       1290.00","       1291.00","       1293.45","       1300.22","    1416212","          1841391437.10","      38783","     387834","         27.39"
"TITAN","EQ","17-Feb-2020","       1293.45","       1293.05","       1321.60","       1288.35","       1315.80","       1316.05","       1314.28","    2347399","          3085142572.10","      70254","     682492","         29.07"
"TITAN","EQ","18-Feb-2020","       1316.05","       1314.00","       1318.90","       1301.25","       1311.00","       1311.00","       1310.65","    1761012","          2308077439.50","      45020","     553065","         31.41"
"TITAN","EQ","19-Feb-2020","       1311.00","       1317.00","       1332.90","       1312.05","       1330.20","       1329.60","       1322.69","    1445826","          1912385285.00","      44803","     387140","         26.78"
"TITAN","EQ","20-Feb-2020","       1329.60","       1330.00","       1341.05","       1320.00","       1322.70","       1322.85","       1329.48","    1513648","          2012365274.25","      62941","     709696","         46.89"
"TITAN","EQ","24-Feb-2020","       1322.85","       1310.00","       1317.80","       1273.85","       1278.00","       1279.90","       1297.39","    1341317","          1740213678.25","      64257","     449923","         33.54"
"TITAN","EQ","25-Feb-2020","       1279.90","       1285.00","       1286.75","       1256.80","       1265.00","       1260.10","       1269.75","    1358874","          1725436457.80","      69450","     565038","         41.58"
"TITAN","EQ","26-Feb-2020","       1260.10","       1256.00","       1267.00","       1245.10","       1259.90","       1255.10","       1255.20","    1506693","          1891203076.45","      64939","     618555","         41.05"
"TITAN","BL","27-Feb-2020","       1102.55","       1255.10","       1255.10","       1255.10","       1255.10","       1255.10","       1255.10","    1000000","          1255100000.00","          1","-","-"
"TITAN","EQ","27-Feb-2020","       1255.10","       1250.00","       1286.00","       1250.00","       1278.50","       1277.90","       1272.70","    4569014","          5814967876.85","     140554","    2117988","         46.36"
"TITAN","EQ","28-Feb-2020","       1277.90","       1255.00","       1270.70","       1235.65","       1254.90","       1254.50","       1255.00","    2728105","          3423764571.60","      99872","    1175088","         43.07"
"TITAN","EQ","02-Mar-2020","       1254.50","       1275.00","       1294.00","       1228.00","       1248.15","       1244.15","       1275.35","    2773593","          3537295737.10","     105276","    1090720","         39.33"
"TITAN","EQ","03-Mar-2020","       1244.15","       1248.20","       1272.00","       1225.00","       1250.00","       1247.00","       1242.58","    2660100","          3305389926.90","     123087","    1035518","         38.93"
"TITAN","EQ","04-Mar-2020","       1247.00","       1251.95","       1265.65","       1217.30","       1252.90","       1250.95","       1239.73","    3007393","          3728343836.75","     119632","    1325465","         44.07"
"TITAN","EQ","05-Mar-2020","       1250.95","       1253.50","       1265.15","       1242.20","       1255.50","       1259.15","       1256.04","    1555538","          1953813106.05","      85503","     561510","         36.10"
"TITAN","EQ","06-Mar-2020","       1259.15","       1229.00","       1246.95","       1219.70","       1241.90","       1242.60","       1235.55","    1678642","          2074039141.60","      81570","     697247","         41.54"
"TITAN","EQ","09-Mar-2020","       1242.60","       1225.00","       1241.85","       1175.00","       1208.00","       1203.45","       1204.74","    2285790","          2753789238.00","      96508","     893919","         39.11"
"TITAN","EQ","11-Mar-2020","       1203.45","       1197.95","       1213.35","       1177.55","       1185.95","       1187.65","       1189.93","    2314388","          2753952055.10","     101381","     998141","         43.13"
"TITAN","EQ","12-Mar-2020","       1187.65","       1150.00","       1153.95","       1064.65","       1090.00","       1076.75","       1093.38","    3609158","          3946165098.50","     144034","    1516097","         42.01"
"TITAN","EQ","13-Mar-2020","       1076.75","       1055.60","       1134.70","        946.05","       1085.00","       1084.35","       1059.81","    4337351","          4596748334.80","     155540","    1605470","         37.01"
"TITAN","EQ","16-Mar-2020","       1084.35","       1049.95","       1049.95","        983.00","       1008.00","       1011.35","       1013.13","    3443945","          3489176561.10","     151290","    1558296","         45.25"
"TITAN","EQ","17-Mar-2020","       1011.35","       1005.00","       1038.00","        977.80","       1006.75","       1001.00","       1011.90","    2985174","          3020709979.45","     161370","    1431217","         47.94"
"TITAN","EQ","18-Mar-2020","       1001.00","       1028.00","       1028.00","        921.00","        927.85","        930.75","        944.16","    5508581","          5200966372.70","     230234","    2686676","         48.77"
"TITAN","EQ","19-Mar-2020","        930.75","        879.95","        924.40","        839.75","        902.00","        903.50","        888.36","    4838553","          4298381820.15","     196393","    2093144","         43.26"
"TITAN","EQ","20-Mar-2020","        903.50","        906.10","        934.00","        866.00","        905.00","        904.90","        898.55","    4407659","          3960515855.55","     189761","    1376160","         31.22"
"TITAN","EQ","23-Mar-2020","        904.90","        839.65","        841.05","        771.25","        779.65","        800.95","        806.34","    4960949","          4000189754.00","     184527","    2805448","         56.55"
"TITAN","EQ","24-Mar-2020","        800.95","        805.25","        857.85","        720.90","        828.00","        816.10","        792.11","    5404961","          4281322186.50","     298325","    1943581","         35.96"
"TITAN","EQ","25-Mar-2020","        816.10","        799.00","        897.70","        784.80","        881.90","        880.80","        837.36","    3564864","          2985087258.70","     237409","    1006690","         28.24"
"TITAN","EQ","26-Mar-2020","        880.80","        895.00","        947.80","        872.30","        937.00","        928.30","        912.12","    3635282","          3315814159.55","     163897","    1082663","         29.78"
"TITAN","EQ","27-Mar-2020","        928.30","        960.00","        965.00","        896.00","        940.00","        937.05","        933.55","    2999839","          2800497296.35","     126638","     931548","         31.05"
"TITAN","EQ","30-Mar-2020","        937.05","        861.00","        959.00","        861.00","        951.65","        943.65","        923.90","    2901443","          2680629802.10","     122396","    1271457","         43.82"
"TITAN","EQ","31-Mar-2020","        943.65","        967.00","        971.70","        923.75","        935.00","        933.70","        944.29","    3811980","          3599614579.75","     136845","    1217196","         31.93"
"TITAN","EQ","01-Apr-2020","        933.70","        929.70","        950.00","        902.00","        934.90","        936.05","        919.67","    2935941","          2700108893.60","     134267","    1041972","         35.49"
"TITAN","EQ","03-Apr-2020","        936.05","        930.00","        930.05","        855.95","        870.00","        862.80","        884.64","    4951957","          4380689877.45","     188938","    1937332","         39.12"
"TITAN","EQ","07-Apr-2020","        862.80","        900.10","        954.95","        892.30","        940.00","        947.45","        927.77","    4186589","          3884193605.60","     137680","    1350970","         32.27"
