"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ULTRACEMCO","EQ","01-Jan-2020","       4046.05","       4060.00","       4071.95","       4045.00","       4068.00","       4065.00","       4059.12","     163949","           665488201.30","       9451","      30007","         18.30"
"ULTRACEMCO","EQ","02-Jan-2020","       4065.00","       4069.90","       4256.30","       4068.15","       4237.00","       4244.80","       4201.06","    1458328","          6126521799.40","      94709","     403142","         27.64"
"ULTRACEMCO","EQ","03-Jan-2020","       4244.80","       4237.00","       4258.00","       4185.85","       4218.25","       4219.20","       4222.20","     635983","          2685249076.90","      46789","     174945","         27.51"
"ULTRACEMCO","EQ","06-Jan-2020","       4219.20","       4191.00","       4199.75","       4131.00","       4146.85","       4157.10","       4169.55","     462841","          1929839629.25","      39868","     214991","         46.45"
"ULTRACEMCO","EQ","07-Jan-2020","       4157.10","       4199.55","       4254.00","       4164.05","       4239.95","       4242.10","       4221.37","     524372","          2213567199.35","      41214","      92149","         17.57"
"ULTRACEMCO","EQ","08-Jan-2020","       4242.10","       4224.85","       4332.00","       4183.80","       4308.00","       4318.95","       4293.48","    1032268","          4432027011.20","      72733","     223131","         21.62"
"ULTRACEMCO","EQ","09-Jan-2020","       4318.95","       4337.00","       4400.00","       4331.60","       4388.05","       4388.00","       4372.71","     698429","          3054028329.55","      47576","     256684","         36.75"
"ULTRACEMCO","EQ","10-Jan-2020","       4388.00","       4388.10","       4464.05","       4366.90","       4457.00","       4444.60","       4430.01","     735887","          3259983348.55","      54585","     252284","         34.28"
"ULTRACEMCO","EQ","13-Jan-2020","       4444.60","       4457.55","       4492.00","       4450.05","       4470.95","       4468.70","       4473.14","     403937","          1806865917.20","      32808","     112285","         27.80"
"ULTRACEMCO","EQ","14-Jan-2020","       4468.70","       4465.00","       4502.95","       4422.70","       4480.90","       4483.30","       4453.71","     438651","          1953624796.30","      36958","     149663","         34.12"
"ULTRACEMCO","EQ","15-Jan-2020","       4483.30","       4451.05","       4525.25","       4410.00","       4523.70","       4506.50","       4456.81","     416924","          1858150896.80","      32862","     142007","         34.06"
"ULTRACEMCO","EQ","16-Jan-2020","       4506.50","       4520.00","       4554.90","       4433.25","       4481.95","       4472.35","       4503.97","     467980","          2107769933.90","      38904","     111213","         23.76"
"ULTRACEMCO","EQ","17-Jan-2020","       4472.35","       4440.00","       4522.40","       4411.30","       4495.00","       4486.75","       4486.40","     360682","          1618162111.05","      33498","     105156","         29.15"
"ULTRACEMCO","EQ","20-Jan-2020","       4486.75","       4500.00","       4509.45","       4452.00","       4466.00","       4467.65","       4474.41","     204026","           912895515.30","      17123","      64906","         31.81"
"ULTRACEMCO","EQ","21-Jan-2020","       4467.65","       4455.00","       4520.00","       4440.00","       4484.00","       4483.55","       4483.31","     283173","          1269552762.10","      33184","      80925","         28.58"
"ULTRACEMCO","EQ","22-Jan-2020","       4483.55","       4505.00","       4540.00","       4463.00","       4477.00","       4476.95","       4504.61","     359444","          1619155186.65","      23405","      68288","         19.00"
"ULTRACEMCO","EQ","23-Jan-2020","       4476.95","       4470.00","       4540.00","       4446.05","       4535.00","       4526.40","       4496.82","     401079","          1803581741.65","      35389","     112234","         27.98"
"ULTRACEMCO","EQ","24-Jan-2020","       4526.40","       4554.00","       4679.70","       4452.65","       4643.00","       4642.75","       4574.62","    2127667","          9733273468.35","     131929","     206600","          9.71"
"ULTRACEMCO","EQ","27-Jan-2020","       4642.75","       4624.90","       4754.10","       4622.00","       4686.00","       4676.95","       4694.14","    1058884","          4970546498.85","      84765","     197176","         18.62"
"ULTRACEMCO","EQ","28-Jan-2020","       4676.95","       4670.00","       4715.80","       4584.50","       4626.05","       4609.05","       4638.34","     711517","          3300254424.95","      48737","     356312","         50.08"
"ULTRACEMCO","EQ","29-Jan-2020","       4609.05","       4625.00","       4653.50","       4559.50","       4568.25","       4568.20","       4598.69","     595287","          2737540985.90","      45661","     298456","         50.14"
"ULTRACEMCO","EQ","30-Jan-2020","       4568.20","       4569.00","       4588.50","       4464.15","       4480.00","       4486.00","       4511.85","     422335","          1905511579.55","      38631","     193102","         45.72"
"ULTRACEMCO","EQ","31-Jan-2020","       4486.00","       4502.30","       4507.30","       4405.00","       4422.00","       4416.10","       4448.76","     451630","          2009193512.95","      40501","     253189","         56.06"
"ULTRACEMCO","EQ","01-Feb-2020","       4416.10","       4422.00","       4538.90","       4194.70","       4247.00","       4265.25","       4402.30","     735487","          3237833951.15","      43727","     203080","         27.61"
"ULTRACEMCO","EQ","03-Feb-2020","       4265.25","       4265.00","       4386.85","       4236.15","       4372.00","       4370.65","       4325.51","     537373","          2324412433.50","      48595","     162852","         30.31"
"ULTRACEMCO","EQ","04-Feb-2020","       4370.65","       4394.95","       4498.85","       4379.05","       4475.00","       4474.25","       4464.67","     387466","          1729906210.75","      36447","     121553","         31.37"
"ULTRACEMCO","EQ","05-Feb-2020","       4474.25","       4477.00","       4528.60","       4397.60","       4475.00","       4471.80","       4465.89","     521783","          2330227839.30","      37704","     202976","         38.90"
"ULTRACEMCO","EQ","06-Feb-2020","       4471.80","       4480.00","       4519.05","       4442.00","       4453.65","       4464.90","       4473.33","     385744","          1725560532.25","      39005","     193324","         50.12"
"ULTRACEMCO","EQ","07-Feb-2020","       4464.90","       4476.40","       4547.00","       4449.65","       4465.20","       4471.80","       4509.35","     547874","          2470555248.50","      48152","     180716","         32.98"
"ULTRACEMCO","EQ","10-Feb-2020","       4471.80","       4487.00","       4492.60","       4390.75","       4413.80","       4413.75","       4426.23","     271700","          1202606938.90","      30543","      99835","         36.74"
"ULTRACEMCO","EQ","11-Feb-2020","       4413.75","       4447.70","       4519.50","       4433.00","       4470.00","       4466.45","       4484.97","     296451","          1329574126.15","      27746","      90392","         30.49"
"ULTRACEMCO","EQ","12-Feb-2020","       4466.45","       4492.70","       4492.70","       4439.95","       4447.00","       4453.75","       4463.92","     323821","          1445512323.60","      16938","     182634","         56.40"
"ULTRACEMCO","EQ","13-Feb-2020","       4453.75","       4439.95","       4473.15","       4415.00","       4454.00","       4450.50","       4443.97","     186493","           828769279.45","      23381","      79108","         42.42"
"ULTRACEMCO","EQ","14-Feb-2020","       4450.50","       4469.00","       4538.95","       4393.05","       4437.65","       4434.35","       4473.78","     665316","          2976475592.55","      80870","     224239","         33.70"
"ULTRACEMCO","EQ","17-Feb-2020","       4434.35","       4443.90","       4465.00","       4401.10","       4447.65","       4449.85","       4447.39","     354909","          1578419938.10","      25384","     193852","         54.62"
"ULTRACEMCO","EQ","18-Feb-2020","       4449.85","       4433.60","       4488.20","       4370.10","       4470.70","       4475.70","       4427.69","     510062","          2258394830.35","      32489","     244366","         47.91"
"ULTRACEMCO","EQ","19-Feb-2020","       4475.70","       4494.00","       4530.00","       4455.00","       4465.00","       4473.10","       4477.62","     384898","          1723426046.00","      38545","     211675","         55.00"
"ULTRACEMCO","EQ","20-Feb-2020","       4473.10","       4450.00","       4508.00","       4420.00","       4430.00","       4428.10","       4464.51","     414088","          1848700429.65","      31796","     205082","         49.53"
"ULTRACEMCO","EQ","24-Feb-2020","       4428.10","       4415.00","       4455.00","       4320.00","       4402.00","       4395.00","       4417.84","     383261","          1693185117.90","      50251","     160204","         41.80"
"ULTRACEMCO","EQ","25-Feb-2020","       4395.00","       4397.50","       4400.00","       4330.75","       4346.05","       4344.00","       4356.41","     402233","          1752291439.65","      48059","     211066","         52.47"
"ULTRACEMCO","EQ","26-Feb-2020","       4344.00","       4320.25","       4423.90","       4286.05","       4328.60","       4341.50","       4374.77","     642946","          2812738507.40","      48852","     242464","         37.71"
"ULTRACEMCO","EQ","27-Feb-2020","       4341.50","       4332.55","       4365.05","       4275.35","       4331.05","       4321.65","       4319.84","     369157","          1594697796.30","      48512","     108433","         29.37"
"ULTRACEMCO","EQ","28-Feb-2020","       4321.65","       4270.00","       4304.15","       4200.00","       4216.00","       4219.60","       4234.01","     524557","          2220980317.40","      48488","     238284","         45.43"
"ULTRACEMCO","EQ","02-Mar-2020","       4219.60","       4255.00","       4316.30","       4078.55","       4152.00","       4141.70","       4242.03","     378937","          1607462662.95","      33251","     121526","         32.07"
"ULTRACEMCO","EQ","03-Mar-2020","       4141.70","       4179.90","       4329.00","       4157.55","       4314.00","       4299.90","       4239.20","     606056","          2569192923.35","      55166","     241418","         39.83"
"ULTRACEMCO","EQ","04-Mar-2020","       4299.90","       4310.05","       4325.00","       4117.00","       4180.00","       4172.80","       4198.57","     750952","          3152921360.85","      62088","     386113","         51.42"
