"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UPL","EQ","01-Jan-2020","        584.50","        585.00","        589.50","        580.70","        589.00","        588.25","        585.76","     720807","           422219836.60","      10631","     103653","         14.38"
"UPL","EQ","02-Jan-2020","        588.25","        589.50","        597.20","        584.20","        595.00","        595.45","        592.92","    1388201","           823092260.55","      28402","     408803","         29.45"
"UPL","EQ","03-Jan-2020","        595.45","        591.50","        594.20","        587.30","        591.40","        590.75","        590.82","    1063950","           628607802.40","      25690","     469433","         44.12"
"UPL","EQ","06-Jan-2020","        590.75","        589.00","        589.00","        579.00","        583.45","        584.95","        583.91","    1218216","           711326053.70","      27212","     472989","         38.83"
"UPL","EQ","07-Jan-2020","        584.95","        584.95","        604.00","        583.05","        595.00","        595.05","        597.23","    4247207","          2536577841.70","      48776","     498229","         11.73"
"UPL","EQ","08-Jan-2020","        595.05","        585.75","        603.00","        584.60","        601.00","        600.85","        594.80","    2090846","          1243636602.95","      37085","     563726","         26.96"
"UPL","EQ","09-Jan-2020","        600.85","        602.00","        614.90","        598.25","        604.55","        604.55","        606.79","    2795225","          1696110328.30","      43182","     783655","         28.04"
"UPL","EQ","10-Jan-2020","        604.55","        607.00","        608.50","        595.05","        602.90","        600.30","        601.46","    1921690","          1155820210.25","      26710","     722423","         37.59"
"UPL","EQ","13-Jan-2020","        600.30","        604.00","        605.75","        590.00","        593.20","        591.95","        594.76","    2174995","          1293599519.50","      31145","     930907","         42.80"
"UPL","EQ","14-Jan-2020","        591.95","        593.20","        594.90","        579.20","        585.20","        583.55","        585.30","    2911749","          1704240846.60","      57129","    1506322","         51.73"
"UPL","EQ","15-Jan-2020","        583.55","        584.00","        589.50","        573.80","        585.45","        585.80","        581.18","    3419279","          1987220081.15","      41504","    1558819","         45.59"
"UPL","EQ","16-Jan-2020","        585.80","        587.10","        591.80","        582.10","        587.10","        588.10","        586.80","    1705322","          1000676296.65","      27873","     583492","         34.22"
"UPL","EQ","17-Jan-2020","        588.10","        589.95","        597.35","        585.90","        587.50","        589.25","        592.23","    1813763","          1074165711.15","      38673","     637490","         35.15"
"UPL","EQ","20-Jan-2020","        589.25","        590.00","        590.85","        580.55","        585.50","        584.60","        585.28","    2425877","          1419815100.05","      35711","    1609411","         66.34"
"UPL","EQ","21-Jan-2020","        584.60","        582.80","        582.80","        572.20","        578.00","        577.70","        577.88","    4789489","          2767755490.15","      55347","    3325848","         69.44"
"UPL","EQ","22-Jan-2020","        577.70","        582.85","        582.85","        553.40","        560.45","        562.95","        565.54","    7453773","          4215412373.50","     109927","    1590779","         21.34"
"UPL","EQ","23-Jan-2020","        562.95","        560.00","        564.55","        540.30","        540.50","        542.20","        549.04","    4533870","          2489292768.90","      92824","    1997359","         44.05"
"UPL","EQ","24-Jan-2020","        542.20","        541.00","        564.50","        541.00","        544.90","        543.30","        552.65","    8132638","          4494503260.15","     104732","    1349896","         16.60"
"UPL","EQ","27-Jan-2020","        543.30","        545.40","        550.10","        535.00","        538.00","        537.25","        542.33","    4285510","          2324169988.10","      81562","    1563623","         36.49"
"UPL","EQ","28-Jan-2020","        537.25","        538.25","        548.00","        533.20","        537.00","        536.95","        541.10","    4042406","          2187351451.45","      71834","     750500","         18.57"
"UPL","EQ","29-Jan-2020","        536.95","        543.90","        545.90","        537.05","        541.80","        542.15","        541.81","    2182366","          1182421558.35","      36513","     626751","         28.72"
"UPL","EQ","30-Jan-2020","        542.15","        541.95","        551.35","        539.10","        543.00","        544.15","        544.53","    3514667","          1913833769.65","      75088","    1196363","         34.04"
"UPL","EQ","31-Jan-2020","        544.15","        547.45","        549.00","        525.00","        526.80","        526.55","        532.04","    4340034","          2309050102.75","      77148","    1479279","         34.08"
"UPL","EQ","01-Feb-2020","        526.55","        528.00","        533.95","        498.70","        508.50","        503.65","        517.41","    2748381","          1422042737.95","      46901","     630451","         22.94"
"UPL","EQ","03-Feb-2020","        503.65","        506.75","        517.50","        505.00","        513.90","        513.30","        511.82","    3012267","          1541736438.40","      56906","    1042686","         34.61"
"UPL","EQ","04-Feb-2020","        513.30","        516.95","        525.95","        515.00","        522.00","        522.60","        521.13","    2253175","          1174195711.25","      33985","     896400","         39.78"
"UPL","EQ","05-Feb-2020","        522.60","        525.10","        542.30","        521.55","        537.00","        537.45","        535.66","    3105094","          1663282850.15","      47677","     673937","         21.70"
"UPL","EQ","06-Feb-2020","        537.45","        537.05","        545.20","        533.60","        536.90","        536.85","        538.96","    2052126","          1106013552.70","      34289","     700819","         34.15"
"UPL","EQ","07-Feb-2020","        536.85","        539.00","        555.45","        538.30","        544.00","        543.10","        547.92","    5702296","          3124400933.70","      78896","    1001687","         17.57"
"UPL","EQ","10-Feb-2020","        543.10","        570.30","        579.60","        555.70","        569.00","        574.10","        569.02","   15352223","          8735658778.80","     189528","    1722842","         11.22"
"UPL","EQ","11-Feb-2020","        574.10","        574.40","        584.80","        569.90","        578.45","        576.65","        578.32","    5097454","          2947936140.90","      89680","    1454136","         28.53"
"UPL","EQ","12-Feb-2020","        576.65","        578.45","        583.00","        570.45","        572.90","        573.90","        577.15","    3277025","          1891326687.25","      53561","    1247595","         38.07"
"UPL","EQ","13-Feb-2020","        573.90","        572.00","        582.90","        562.90","        580.20","        578.75","        576.16","    2902199","          1672139250.90","      44932","    1225882","         42.24"
"UPL","EQ","14-Feb-2020","        578.75","        579.60","        601.40","        578.10","        593.00","        591.65","        591.50","    6213486","          3675250595.05","      76319","    1804031","         29.03"
"UPL","EQ","17-Feb-2020","        591.65","        593.00","        599.80","        591.15","        595.20","        595.00","        595.31","    2418399","          1439694656.80","      38912","     835341","         34.54"
"UPL","EQ","18-Feb-2020","        595.00","        592.00","        592.00","        574.00","        584.85","        585.20","        583.12","    2972328","          1733223065.30","      53231","    1363623","         45.88"
"UPL","EQ","19-Feb-2020","        585.20","        589.90","        593.85","        581.30","        585.00","        585.20","        584.98","    2843587","          1663449521.40","      34916","    1163934","         40.93"
